DATE,PRICE
2023-01-02,5252
2023-01-03,5300
2023-01-04,5290
2023-01-05,5236
2023-01-06,5275
2023-01-07,5200
2023-01-09,5276
2023-01-10,5255
2023-01-11,5215
2023-01-12,5080
2023-01-13,5190
2023-01-16,5266
2023-01-17,5266
2023-01-18,5060
2023-01-19,5160
2023-01-20,5000
2023-01-21,4980
2023-01-23,5070
2023-01-24,4990
2023-01-25,4900
2023-01-27,4880
2023-01-28,5050
2023-01-30,5045
2023-01-31,4950
2023-02-01,4910
2023-02-02,4920
2023-02-03,4890
2023-02-04,4910
2023-02-06,4850
2023-02-07,4900
2023-02-08,5000
2023-02-09,4990
2023-02-10,5040
2023-02-11,4990
2023-02-13,5010
2023-02-14,5000
2023-02-15,5010
2023-02-16,5010
2023-02-17,4980
2023-02-20,5010
2023-02-21,5092
2023-02-22,5137
2023-02-23,5000
2023-02-24,4990
2023-02-27,4950
2023-02-28,5044
2023-03-01,4980
2023-03-02,5000
2023-03-03,4950
2023-03-04,4950
2023-03-06,4980
2023-03-08,4990
2023-03-09,4950
2023-03-11,4930
2023-03-13,5100
2023-03-14,4890
2023-03-15,5050
2023-03-16,5100
2023-03-17,4975
2023-03-18,4964
2023-03-20,4925
2023-03-21,4800
2023-03-23,4864
2023-03-24,4830
2023-03-25,4816
2023-03-28,2447
2023-03-29,4870
