Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
A lot,01/02/2006,29.4,Yellow,1125,1156,1148,
,02/02/2006,42.53,Yellow,1100,1156,1142,
,03/02/2006,33.4,Yellow,1070,1151,1130,
,04/02/2006,55.8,Yellow,1078,1168,1156,
,06/02/2006,47.7,Yellow,1065,1166,1156,
,07/02/2006,43.2,Yellow,1100,1152,1145,
,08/02/2006,34.8,Yellow,1115,1149,1138,
,11/02/2006,47.3,Yellow,1055,1165,1148,
,13/02/2006,8.9,Yellow,1125,1135,1130,
,14/02/2006,68.9, ,NR,NR,NR,
,15/02/2006,59.2,Yellow,1080,1162,1126,
,16/02/2006,25.6,Yellow,1082,1144,1134,
,17/02/2006,52.5,Yellow,1125,1181,1163,
,18/02/2006,44.9,Yellow,1143,1177,1161,
,20/02/2006,30.6,Yellow,1054,1146,1135,
,21/02/2006,21.9,Yellow,1117,1152,1145,
,22/02/2006,33.2,Yellow,1090,1181,1140,
,23/02/2006,16.2,Yellow,1080,1155,1132,
,24/02/2006,34.2,Yellow,1050,1173,1131,
,25/02/2006,38.1,Yellow,1083,1173,1158,
,27/02/2006,28.6,Yellow,1100,1178,1148,
,28/02/2006,11.1,Yellow,1115,1178,1165,
Agar,01/02/2006,137.3,Yellow,1066,1145,1130,
,02/02/2006,90.6,Yellow,1030,1135,1100,
,03/02/2006,76.5,Yellow,1020,1150,1140,
Ashoknagar,01/02/2006,99,Yellow,1080,1585,1565,
,02/02/2006,180,Yellow,1035,1118,1115,
,04/02/2006,189,Yellow,1100,1122,1115,
,06/02/2006,167,Yellow,1080,1132,1125,
,07/02/2006,161,Yellow,1088,1133,1120,
,08/02/2006,134,Yellow,1070,1131,1120,
,10/02/2006,210,Yellow,1068,1139,1132,
,11/02/2006,222,Yellow,1100,1132,1122,
,13/02/2006,49,Yellow,1080,1124,1115,
,14/02/2006,159,Yellow,1082,1122,1115,
,15/02/2006,96,Yellow,1089,1121,1110,
,17/02/2006,117,Yellow,1090,1132,1115,
,18/02/2006,61,Yellow,1103,1138,1130,
,20/02/2006,77,Yellow,1080,1129,1115,
,21/02/2006,60,Yellow,1050,1123,1114,
,22/02/2006,80,Yellow,1051,1117,1112,
,23/02/2006,55,Yellow,1071,1115,1110,
,24/02/2006,52,Yellow,1078,1115,1110,
,25/02/2006,10,Yellow,1070,1115,1110,
,27/02/2006,38,Yellow,1079,1124,1118,
,28/02/2006,20,Yellow,1071,1118,1117,
Baikunthpur,04/02/2006,7.8, ,NR,NR,NR,
,05/02/2006,55.4, ,NR,NR,NR,
Berasia,01/02/2006,116,Other,1025,1135,1120,
,02/02/2006,129,Other,1080,1123,1115,
,03/02/2006,55,Other,1087,1125,1110,
,04/02/2006,71,Other,1100,1135,1112,
,06/02/2006,90,Other,1052,1136,1115,
,07/02/2006,89,Other,1110,1138,1126,
,08/02/2006,124,Other,1097,1150,1120,
,10/02/2006,115,Other,1091,1137,1128,
,11/02/2006,113,Other,1016,1130,1120,
,14/02/2006,96,Other,1086,1121,1108,
,15/02/2006,80,Other,1101,1126,1110,
,17/02/2006,80,Other,1115,1150,1130,
,18/02/2006,69,Other,1100,1161,1140,
,20/02/2006,76,Other,1081,1126,1120,
,21/02/2006,52,Other,1090,1136,1117,
,22/02/2006,56,Other,1085,1131,1110,
,23/02/2006,56,Other,1050,1120,1115,
,24/02/2006,47,Other,1093,1125,1115,
,25/02/2006,84,Other,1050,1128,1110,
,27/02/2006,41,Other,1080,1150,1120,
,28/02/2006,59,Other,1108,1127,1120,
Betul,01/02/2006,212.4,Yellow,1036,1130,1121,
,02/02/2006,179.4,Yellow,901,1117,1106,
,04/02/2006,192.9,Yellow,1048,1122,1115,
,06/02/2006,206.5,Yellow,951,1146,1130,
