Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
A lot,02/01/2006,94.2,Yellow,1040,1133,1116,
,03/01/2006,107.9,Yellow,1035,1162,1132,
,04/01/2006,79.2,Yellow,1066,1153,1136,
,05/01/2006,126.1,Yellow,1092,1149,1135,
,06/01/2006,85.7,Yellow,1099,1149,1142,
,07/01/2006,71.3,Yellow,1121,1173,1150,
,09/01/2006,81.9,Yellow,1125,1176,1165,
,10/01/2006,61.8,Yellow,1065,1170,1156,
,12/01/2006,52.1,Yellow,1025,1162,1156,
,13/01/2006,69.6,Yellow,1075,1165,1145,
,14/01/2006,1.6,Yellow,NR,1130,NR,
,16/01/2006,45.5,Yellow,1050,1165,1148,
,17/01/2006,63.1,Yellow,1100,1159,1144,
,18/01/2006,56.6,Yellow,1088,1149,1135,
,19/01/2006,60.8,Yellow,1080,1140,1132,
,20/01/2006,40.6,Yellow,1096,1133,1122,
,21/01/2006,59.9,Yellow,1071,1143,1133,
,23/01/2006,49.3,Yellow,1114,1148,1140,
,24/01/2006,47.6,Yellow,1115,1155,1138,
,25/01/2006,52.4,Yellow,1110,1151,1142,
,27/01/2006,57,Yellow,1090,1149,1135,
,28/01/2006,45.8,Yellow,1075,1156,1141,
,30/01/2006,60.6,Yellow,1050,1161,1158,
,31/01/2006,20.3,Yellow,1050,1166,1150,
Agar,02/01/2006,209,Yellow,1060,1151,1120,
,03/01/2006,223,Yellow,1060,1174,1125,
,04/01/2006,189.7,Yellow,1080,1163,1140,
,05/01/2006,152.5,Yellow,1040,1157,1150,
,06/01/2006,161.7,Yellow,1070,1157,1140,
,07/01/2006,210.4,Yellow,1050,1179,1160,
,09/01/2006,159.5,Yellow,1020,1185,1170,
,10/01/2006,129.4,Yellow,1066,1182,1150,
,12/01/2006,113.2,Yellow,1075,1200,1155,
,13/01/2006,133.3,Yellow,1050,1185,1150,
,16/01/2006,203.8,Yellow,1050,1167,1130,
,17/01/2006,128.2,Yellow,1050,1159,1140,
,18/01/2006,194,Yellow,1060,1166,1140,
,19/01/2006,170.1,Yellow,1070,1141,1125,
,20/01/2006,125.6,Yellow,1040,1140,1120,
,21/01/2006,127.6,Yellow,1050,1143,1120,
,23/01/2006,121.8,Yellow,1050,1156,1140,
,24/01/2006,139,Yellow,1067,1160,1140,
,25/01/2006,177.9,Yellow,1050,1176,1145,
,27/01/2006,118.5,Yellow,1058,1158,1125,
,28/01/2006,133.2,Yellow,1075,1174,1125,
,30/01/2006,185.4,Yellow,1050,1161,1140,
Ashoknagar,02/01/2006,162,Yellow,1050,1103,1094,
,03/01/2006,175,Yellow,1067,1108,1095,
,04/01/2006,186,Yellow,1091,1124,1115,
,05/01/2006,122,Yellow,1051,1121,1112,
,06/01/2006,179,Yellow,1026,1121,1115,
,07/01/2006,159,Yellow,1075,1130,1122,
,09/01/2006,196,Yellow,1060,1145,1130,
,10/01/2006,228,Yellow,1077,1134,1128,
,12/01/2006,217,Yellow,1029,1137,1128,
,13/01/2006,97,Yellow,1075,1131,1125,
,16/01/2006,127,Yellow,1026,1130,1125,
,17/01/2006,164,Yellow,1065,1129,1124,
,18/01/2006,147,Yellow,1084,1122,1112,
,19/01/2006,150,Yellow,1074,1111,1107,
,20/01/2006,153,Yellow,1055,1113,1106,
,21/01/2006,146,Yellow,1040,1115,1110,
,23/01/2006,190,Yellow,1082,1120,1115,
,24/01/2006,210,Yellow,1087,1124,1118,
,25/01/2006,138,Yellow,1075,1119,1115,
,27/01/2006,159,Yellow,1090,1122,1118,
,28/01/2006,114,Yellow,1031,1128,1120,
,30/01/2006,173,Yellow,1040,1135,1125,
,31/01/2006,186,Yellow,1025,1137,1128,
Badnawar,07/01/2006,5500,Other,1089,1171,1145,
,09/01/2006,3200,Other,1062,1170,1150,
,10/01/2006,3200,Other,1065,1164,1135,
,12/01/2006,3000,Other,1026,1163,1140,
,16/01/2006,3200,Other,1087,1168,1142,
,18/01/2006,3250,Other,1050,1147,1130,
,19/01/2006,3540,Other,1050,1138,1125,
,21/01/2006,4000,Other,1051,1155,1125,
