Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
A lot,01/03/2006,9.9,Yellow,1119,1169,1159,
,02/03/2006,22.1,Yellow,1130,1173,1150,
,03/03/2006,14.7,Yellow,1121,1157,1145,
,04/03/2006,38,Yellow,1069,1151,1138,
,06/03/2006,18.8,Yellow,1098,1149,1132,
,07/03/2006,25.5,Yellow,1110,1146,1138,
,08/03/2006,20.3,Yellow,1090,1139,1120,
,09/03/2006,27.7,Yellow,1100,1138,1131,
,10/03/2006,4.6,Yellow,1100,1130,1126,
,11/03/2006,11.1,Yellow,1081,1126,1115,
,13/03/2006,30.6,Yellow,1100,1128,1125,
,14/03/2006,10.3,Yellow,1100,1130,1120,
,16/03/2006,3.6,Yellow,1100,1119,1111,
,17/03/2006,3.7,Yellow,1098,1116,1112,
,18/03/2006,7.6,Other,1075,1122,1090,
,21/03/2006,35.6,Yellow,1060,1120,1110,
,22/03/2006,28.9,Yellow,1050,1121,1110,
,24/03/2006,33.3,Yellow,1095,1150,1130,
,25/03/2006,3.1,Yellow,1075,1150,1114,
,27/03/2006,0.1,Yellow,NR,1051,NR,
,28/03/2006,42.5,Yellow,1052,1094,1075,
Agar,01/03/2006,57.2,Yellow,1050,1140,1130,
,02/03/2006,47.1,Yellow,1050,1145,1135,
,03/03/2006,59.7,Yellow,1120,1150,1130,
,04/03/2006,67.4,Yellow,1080,1154,1125,
,06/03/2006,74.7,Yellow,1044,1151,1130,
,07/03/2006,54.5,Yellow,1065,1144,1125,
,08/03/2006,87.1,Yellow,1051,1131,1125,
Ashoknagar,01/03/2006,28,Yellow,1053,1121,1118,
,02/03/2006,19,Yellow,1053,1125,1120,
,03/03/2006,23,Yellow,1094,1136,1128,
,04/03/2006,58,Yellow,1076,1128,1120,
,06/03/2006,30,Yellow,1064,1128,1124,
,07/03/2006,38,Yellow,1108,1118,1115,
,08/03/2006,23,Yellow,1061,1111,1100,
,09/03/2006,6,Yellow,1083,1109,1100,
,10/03/2006,7,Yellow,1087,1105,1105,
,11/03/2006,22,Yellow,1080,1109,1100,
