Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
A lot,01/05/2006,16.9,Yellow,1050,1241,1225,
,02/05/2006,5.8,Yellow,1050,1256,1248,
,03/05/2006,9.5,Local,1238,1261,1243,
,,,Yellow,1150,1250,1230,
,04/05/2006,9.9,Local,1141,1295,1281,
,,,Yellow,1200,1251,1240,
,05/05/2006,10.6,Local,1258,1292,1292,
,,,Yellow,1240,1265,1252,
,06/05/2006,4.2,Local,966,1261,1250,
,,,Yellow,1215,1255,1245,
,08/05/2006,5.5,Local,800,1281,1255,
,,,Yellow,1226,1247,1240,
,09/05/2006,14,Local,800,1279,1265,
,,,Yellow,1201,1236,1225,
,10/05/2006,9.9,Local,1105,1257,1250,
,,,Yellow,1200,1268,1253,
,11/05/2006,7.3,Local,960,1289,1277,
,,,Yellow,1225,1275,1259,
,12/05/2006,3.6,Local,1235,1304,1289,
,,,Yellow,1255,1282,1260,
,15/05/2006,5.4,Local,1062,1328,1293,
,,,Yellow,1220,1295,1279,
,16/05/2006,8.4,Yellow,1173,1281,1258,
,17/05/2006,5.9,Local,1270,1270,1270,
,,,Yellow,1224,1281,1276,
,18/05/2006,22.9,Yellow,1240,1308,1288,
,19/05/2006,12.9,Yellow,1240,1298,1271,
,20/05/2006,14.9,Local,952,1294,1282,
,,,Yellow,1225,1294,1276,
,22/05/2006,9.9,Local,1225,1268,1255,
,,,Yellow,1150,1280,1251,
,23/05/2006,13.1,Yellow,1199,1259,1242,
,24/05/2006,27.5,Local,901,1276,1251,
,,,Yellow,1190,1260,1246,
,25/05/2006,9.3,Local,961,1266,1253,
,,,Yellow,1225,1268,1248,
,26/05/2006,13.8,Local,1054,1274,1260,
,,,Yellow,1200,1255,1245,
,27/05/2006,15.9,Local,987,1283,1240,
,,,Yellow,1175,1255,1241,
,29/05/2006,24.3,Local,900,1249,1235,
,,,Yellow,1160,1239,1230,
,30/05/2006,25.4,Local,750,1230,1221,
,,,Yellow,1175,1212,1210,
,31/05/2006,16.1,Local,943,1239,1223,
,,,Yellow,1175,1300,1211,
Agar,01/05/2006,20.2,Yellow,1221,1258,1240,
,02/05/2006,27,Yellow,1106,1260,1240,
Ashoknagar,01/05/2006,1,Yellow,1228,1228,1228,
,02/05/2006,5,Yellow,1233,1244,1240,
,03/05/2006,14,Yellow,1230,1257,1245,
,04/05/2006,1,Local,1235,1267,1263,
,,,Yellow,1235,1267,1260,
,05/05/2006,1,Local,1231,1261,1254,
,,,Yellow,1231,1261,1255,
,06/05/2006,12,Local,1147,1251,1251,
,,,Yellow,1200,1251,1247,
,08/05/2006,2,Local,1229,1260,1260,
,,,Yellow,1241,1256,1250,
,09/05/2006,13,Local,1230,1251,1249,
,,,Yellow,1230,1251,1248,
,10/05/2006,1,Local,1211,1252,1249,
,,,Yellow,1211,1252,1245,
,11/05/2006,1,Local,1236,1260,1257,
,,,Yellow,1236,1260,1252,
,12/05/2006,1,Local,1225,1263,1263,
,15/05/2006,3,Local,1625,1625,1625,
,,,Yellow,1231,1276,1275,
,16/05/2006,1,Local,1261,1277,1277,
,,,Yellow,1270,1277,1273,
,17/05/2006,1,Local,1164,1278,1278,
,,,Yellow,1164,1278,1270,
,18/05/2006,1,Local,1276,1300,1300,
,19/05/2006,16,Yellow,1274,1290,1285,
,20/05/2006,1,Local,1260,1279,1273,
,,,Yellow,1269,1278,1274,
,22/05/2006,1,Local,1229,1270,1270,
,,,Yellow,1229,1270,1260,
