Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Atru,05/04/2006,5.4,Black,1081,1089,1085,
,10/04/2006,2,Black,1090,1125,1100,
,11/04/2006,5.4,Black,1081,1089,1084,
Baran,03/04/2006,22.5,Yellow,1075,1108,1091,
,04/04/2006,15,Yellow,1085,1101,1100,
,05/04/2006,17,Yellow,1070,1116,1090,
,07/04/2006,30,Yellow,1065,1108,1100,
,12/04/2006,30,Yellow,1148,1161,1155,
,13/04/2006,9,Yellow,1153,1158,1158,
,14/04/2006,35,Yellow,1090,1167,1131,
,18/04/2006,4.5,Yellow,1137,1137,1137,
,19/04/2006,11.5,Yellow,1135,1150,1144,
,20/04/2006,21.5,Yellow,1143,1146,1145,
,21/04/2006,21,Yellow,1121,1157,1150,
,22/04/2006,26.1,Yellow,1154,1211,1187,
,24/04/2006,22.5,Yellow,1200,1231,1225,
,25/04/2006,32.5,Yellow,1171,1229,1200,
,26/04/2006,30.5,Yellow,1211,1236,1226,
,28/04/2006,54,Yellow,1219,1245,1236,
,29/04/2006,10,Yellow,1243,1260,1252,
Bhawani Mandi,03/04/2006,30,Other,1051,1080,1072,
,04/04/2006,35,Other,1072,1110,1100,
,05/04/2006,24,Other,1074,1110,1109,
,12/04/2006,60,Other,1100,1167,1165,
,14/04/2006,36.1,Other,1136,1163,1145,
,15/04/2006,50,Other,900,1180,1050,
,17/04/2006,17,Other,1021,1171,1160,
,18/04/2006,28.5,Other,1049,1182,1174,
,19/04/2006,40,Other,1126,1190,1186,
,20/04/2006,23,Other,1111,1180,1179,
,21/04/2006,21,Other,1120,1183,1173,
,22/04/2006,40,Other,1101,1206,1200,
,24/04/2006,23.5,Other,1186,1226,1225,
,25/04/2006,27.5,Other,1015,1228,1224,
,26/04/2006,16.5,Other,1175,1220,1219,
,28/04/2006,23.5,Other,1150,1260,1254,
,29/04/2006,39,Other,1132,1278,1272,
Bhilwara,27/04/2006,2,Local,1100,1100,1100,
,28/04/2006,4,Local,1100,1100,1100,
Bundi,04/04/2006,9,Other,1111,1111,1111,
,05/04/2006,18.2,Other,1110,1120,1112,
,07/04/2006,4.5,Other,1125,1125,1125,
,08/04/2006,5.5,Other,1121,1125,1123,
,10/04/2006,6,Other,1133,1133,1133,
,12/04/2006,7.5,Other,1131,1140,1135,
,19/04/2006,3.5,Other,1155,1191,1185,
,21/04/2006,9.2,Other,1156,1204,1202,
,22/04/2006,4,Other,1190,1192,1191,
,24/04/2006,10.3,Other,1190,1218,1200,
,25/04/2006,8,Other,1172,1234,1225,
,26/04/2006,1.6, ,NR,NR,NR,
,27/04/2006,18,Other,1210,1230,1220,
,28/04/2006,9,Other,1225,1229,1227,
,29/04/2006,5,Other,1224,1241,1235,
Chhabra,12/04/2006,6,Yellow,1152,1157,1155,
,13/04/2006,0.9,Yellow,1152,1157,1155,
,15/04/2006,5,Yellow,1154,1164,1160,
,19/04/2006,8.5,Yellow,1159,1165,1162,
,20/04/2006,8.5,Yellow,1159,1165,1162,
,21/04/2006,11.3,Yellow,1125,1139,1136,
,22/04/2006,12,Yellow,1131,1146,1143,
,25/04/2006,17,Other,1160,1190,1190,
,27/04/2006,46,Other,1211,1212,1211,
,28/04/2006,51,Other,1230,1230,1230,
Itawa,03/04/2006,3.1,Other,1080,1111,1090,
,04/04/2006,0.4,Other,1106,1106,1106,
,05/04/2006,0.8,Other,1109,1124,1115,
,08/04/2006,3.8,Other,1105,1141,1130,
,10/04/2006,3,Other,1145,1155,1150,
,11/04/2006,3.4,Other,1144,1168,1161,
,12/04/2006,2.9,Other,1131,1175,1150,
,15/04/2006,10,Other,1125,1175,1155,
,17/04/2006,10,Other,1100,1152,1136,
,18/04/2006,2.5,Other,1125,1162,1160,
,21/04/2006,2,Other,1128,1138,1133,
,22/04/2006,3.1,Other,1151,1188,1174,
,24/04/2006,5.1,Other,1125,1193,1193,
,25/04/2006,3.9,Other,1071,1205,1200,
,26/04/2006,26.6,Other,1195,1220,1200,
,27/04/2006,0.6,Other,1210,1225,1210,
,28/04/2006,3,Other,1238,1246,1242,
Jhalarapatan,03/04/2006,1,Other,1050,1090,1090,
,04/04/2006,9.1,Other,1040,1113,1105,
,05/04/2006,11.1,Other,1100,1119,1115,
,07/04/2006,8.8,Other,1100,1123,1114,
,08/04/2006,17.8,Other,1027,1131,1121,
,10/04/2006,7.2,Other,1140,1145,1144,
,12/04/2006,16.3,Other,1080,1162,1157,
,13/04/2006,9.2,Other,1144,1150,1148,
,14/04/2006,13.2,Other,1133,1149,1143,
,15/04/2006,5.4,Other,1141,1165,1160,
,17/04/2006,5.9,Other,1041,1170,1160,
,18/04/2006,6.4,Other,1140,1160,1150,
,19/04/2006,13,Other,1120,1170,1164,
,20/04/2006,5.6,Other,1112,1150,1140,
,21/04/2006,6.2,Other,1140,1180,1161,
,22/04/2006,5.5,Other,1174,1200,1185,
,24/04/2006,10.5,Other,1175,1224,1217,
,25/04/2006,15.9,Other,1175,1222,1217,
,26/04/2006,9.2,Other,1185,1220,1208,
,27/04/2006,0.3,Other,1200,1200,1200,
,28/04/2006,0.1,Other,1200,1200,1200,
,29/04/2006,4.3,Other,1210,1246,1240,
Kota,03/04/2006,175,Other,1071,1146,1120,
,04/04/2006,78.5,Other,1085,1147,1130,
,05/04/2006,78.5,Other,1085,1141,1120,
,07/04/2006,81,Other,1125,1149,1130,
,08/04/2006,61.5,Other,1115,1180,1150,
,13/04/2006,104.5,Other,1119,1185,1155,
,14/04/2006,213.6,Other,1135,1187,1145,
,15/04/2006,157.8,Other,1095,1200,1160,
,17/04/2006,240.2,Other,1090,1204,1165,
,18/04/2006,106,Other,1140,1210,1170,
,19/04/2006,126.5,Other,1175,1208,1180,
,20/04/2006,142,Other,1122,1205,1175,
,21/04/2006,88.4,Other,835,1210,1170,
,22/04/2006,150.8,Other,1175,1230,1205,
,24/04/2006,193.3,Other,1131,1244,1190,
,25/04/2006,91.3,Other,1175,1249,1210,
,26/04/2006,137.7,Other,1190,1265,1215,
,27/04/2006,168.3,Other,1141,1272,1240,
,28/04/2006,133.3,Other,1190,1275,1255,
,29/04/2006,122.5,Other,1201,1289,1250,
Nimbahera,07/04/2006,5.6,Other,1060,1092,1075,
,08/04/2006,22.8,Other,1075,1100,1085,
,12/04/2006,19.6,Other,1050,1150,1100,
,14/04/2006,4.4,Other,1080,1160,1100,
,15/04/2006,22.1,Other,1050,1150,1100,
,17/04/2006,12,Other,1146,1165,1150,
,19/04/2006,13.7,Other,1150,1170,1160,
,20/04/2006,16.3,Other,1100,1160,1135,
,21/04/2006,14.3,Other,1050,1180,1100,
,22/04/2006,22,Other,1020,1185,1100,
,24/04/2006,8.9,Other,1000,1205,1150,
,25/04/2006,9,Other,1050,1200,1125,
,26/04/2006,15.6,Other,1000,1197,1050,
,27/04/2006,15.8,Other,1025,1196,1100,
,28/04/2006,22.4,Other,1190,1217,1200,
,29/04/2006,7.8,Other,1180,1245,1200,
Pratapgarh,04/04/2006,16.2,Other,1061,1073,1065,
,05/04/2006,19.8,Other,1047,1086,1065,
,07/04/2006,12.7,Other,1083,1105,1095,
,08/04/2006,13.5,Other,1087,1120,1105,
,09/04/2006,33.1,Other,1088,1123,1105,
,15/04/2006,62.8,Other,1122,1157,1140,
,16/04/2006,56.1,Other,1139,1153,1145,
,18/04/2006,37.5,Other,1116,1166,1140,
,19/04/2006,15,Other,1121,1155,1140,
,20/04/2006,41.3,Other,1146,1163,1150,
,21/04/2006,31.8,Other,1080,1178,1130,
,22/04/2006,43.4,Other,1160,1201,1180,
,23/04/2006,45.2,Other,1156,1209,1180,
,25/04/2006,18,Other,1190,1207,1200,
,27/04/2006,42.5,Other,1190,1216,1200,
,28/04/2006,21.6,Other,1210,1222,1215,
,29/04/2006,16,Other,1219,1258,1240,
,30/04/2006,15.5,Other,1228,1254,1240,
Ramaganj Mandi,04/04/2006,2.5,Other,1090,1101,1090,
,25/04/2006,12.1,Other,1197,1214,1207,
