Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Anta,18/12/2006,35.2,Yellow,1279,1312,1280,
,19/12/2006,18.5,Yellow,1284,1293,1288,
,22/12/2006,28.7,Yellow,1214,1313,1297,
,23/12/2006,17,Yellow,1289,1310,1300,
,25/12/2006,4.1,Yellow,1303,1313,1303,
,26/12/2006,13.9,Yellow,1272,1332,1320,
,27/12/2006,32.7,Yellow,1310,1342,1325,
,28/12/2006,40.6,Yellow,1310,1338,1320,
,30/12/2006,17.4,Yellow,1225,1335,1320,
Baran,01/12/2006,315,Yellow,1330,1354,1342,
,02/12/2006,315,Yellow,1320,1347,1335,
,04/12/2006,315,Yellow,1291,1332,1316,
,06/12/2006,256.5,Yellow,1286,1318,1306,
,07/12/2006,225,Yellow,1295,1321,1309,
,08/12/2006,184.5,Yellow,1296,1340,1319,
,09/12/2006,225,Yellow,1300,1332,1317,
,11/12/2006,220,Yellow,1300,1330,1315,
,12/12/2006,229.5,Yellow,1311,1356,1336,
,20/12/2006,1485,Yellow,1280,1299,1289,
,22/12/2006,1440,Yellow,1295,1321,1308,
,23/12/2006,1395,Yellow,1237,1310,1286,
,25/12/2006,855,Yellow,1305,1338,1321,
,26/12/2006,2115,Yellow,1316,1347,1331,
,27/12/2006,1440,Yellow,1314,1352,1333,
,28/12/2006,1710,Yellow,1310,1338,1324,
,29/12/2006,171,Yellow,1308,1348,1330,
,30/12/2006,234,Yellow,1310,1350,1330,
Bhawani Mandi,01/12/2006,108.1,Other,1166,1349,1280,
,02/12/2006,173.3,Other,1281,1341,1301,
,04/12/2006,158.5,Other,1250,1328,1300,
,05/12/2006,100,Other,1161,1311,1300,
,06/12/2006,105.5,Other,1276,1323,1300,
,07/12/2006,106,Other,1230,1312,1285,
,08/12/2006,76.5,Other,1257,1327,1290,
,09/12/2006,110,Other,1100,1330,1280,
,11/12/2006,117,Other,1190,1334,1300,
,12/12/2006,75,Other,1200,1345,1300,
,13/12/2006,92.5,Other,1200,1336,1320,
,14/12/2006,117,Other,1200,1326,1315,
,15/12/2006,65,Other,1050,1333,1325,
,16/12/2006,80,Other,1145,1318,1309,
,18/12/2006,67,Other,1230,1302,1245,
,19/12/2006,85,Other,1180,1293,1245,
,21/12/2006,106.5,Other,1271,1316,1293,
,22/12/2006,65.6,Other,1291,1333,1310,
,23/12/2006,92,Other,1231,1339,1300,
,25/12/2006,93.5,Other,1251,1341,1300,
,26/12/2006,106,Other,1251,1355,1300,
,27/12/2006,110,Other,1250,1346,1300,
,28/12/2006,130.5,Other,1250,1335,1290,
,29/12/2006,91,Other,1235,1338,1300,
,30/12/2006,135.5,Other,1266,1340,1303,
Bhilwara,02/12/2006,18,Local,1280,1301,1291,
,04/12/2006,24,Local,1281,1281,1281,
,05/12/2006,11,Local,1281,1281,1281,
,06/12/2006,10,Local,1225,1281,1253,
,09/12/2006,10,Local,1281,1281,1281,
,14/12/2006,20,Local,1251,1281,1266,
,15/12/2006,8,Local,1290,1290,1290,
,21/12/2006,10,Local,1225,1250,1238,
,28/12/2006,5,Local,1285,1288,1287,
,30/12/2006,12,Local,1281,1293,1287,
Bundi,01/12/2006,74.5,Other,1335,1360,1350,
,04/12/2006,57.5,Other,1317,1350,1325,
,05/12/2006,49.5,Other,1295,1300,1298,
,06/12/2006,52.5,Other,1283,1326,1300,
,07/12/2006,16.5,Other,1308,1319,1312,
,08/12/2006,16.5,Other,1308,1319,1310,
,09/12/2006,40,Other,1244,1322,1300,
,11/12/2006,14.3,Other,1306,1330,1315,
,12/12/2006,16.4,Other,1300,1335,1320,
,13/12/2006,24.7,Other,1315,1338,1325,
,14/12/2006,20, ,NR,NR,NR,
,15/12/2006,21,Other,1318,1335,1325,
,16/12/2006,25,Other,1250,1325,1300,
,18/12/2006,34.1,Other,1292,1309,1300,
,19/12/2006,10.1,Other,1270,1308,1290,
,20/12/2006,14.2,Other,1290,1306,1300,
,21/12/2006,10.5,Other,1212,1313,1260,
,22/12/2006,8.5,Other,1305,1325,1315,
,23/12/2006,6,Other,1300,1331,1320,
,25/12/2006,12.5,Other,1300,1339,1325,
,26/12/2006,26.9,Other,1271,1355,1300,
,27/12/2006,27.4,Other,1295,1363,1340,
,28/12/2006,28.5,Other,1328,1349,1335,
,29/12/2006,22.6,Other,1275,1351,1300,
,30/12/2006,49.1,Other,1311,1353,1340,
Chechat,19/12/2006,0.1,Other,1200,1200,1200,
,21/12/2006,0.1,Other,1200,1200,1200,
,29/12/2006,0.6,Other,1251,1251,1251,
Fatehnagar,01/12/2006,2,Other,1275,1309,1294,
,05/12/2006,1.6,Soyabeen,1240,1281,1265,
,09/12/2006,1.8,Soyabeen,1230,1273,1273,
,11/12/2006,2.5,Soyabeen,1254,1289,1289,
,14/12/2006,1,Soyabeen,1296,1296,1296,
,21/12/2006,1.4,Soyabeen,1255,1257,1257,
,26/12/2006,2.3,Soyabeen,1238,1299,1284,
Itawa,02/12/2006,30,Other,1278,1354,1340,
,04/12/2006,50,Other,1302,1343,1330,
,05/12/2006,15, ,NR,NR,NR,
,06/12/2006,28,Other,1310,1344,1330,
,07/12/2006,29,Other,1300,1336,1325,
,08/12/2006,13,Other,1290,1340,1320,
,09/12/2006,34,Other,1316,1343,1330,
,11/12/2006,43,Other,1320,1341,1335,
,12/12/2006,39.8,Other,1300,1358,1340,
,14/12/2006,32.5,Other,1315,1342,1335,
,18/12/2006,25.3,Other,1285,1318,1300,
,19/12/2006,20,Other,1279,1308,1300,
,20/12/2006,22,Other,1263,1323,1300,
,21/12/2006,24.6,Other,1299,1331,1320,
,22/12/2006,31.6,Other,1290,1338,1330,
,23/12/2006,15,Other,1307,1355,1325,
,25/12/2006,19.7, ,NR,NR,NR,
,26/12/2006,37.8,Other,1311,1386,1365,
,27/12/2006,38.6,Other,1328,1359,1340,
,28/12/2006,34.5,Other,1323,1344,1335,
,29/12/2006,15.6,Other,1241,1355,1340,
,30/12/2006,24.8,Other,1297,1358,1340,
Kota,01/12/2006,533.7,Other,1292,1357,1330,
,02/12/2006,645.5,Other,1305,1350,1330,
,04/12/2006,667.1,Other,1270,1340,1305,
,05/12/2006,568.9,Other,1250,1330,1305,
,06/12/2006,614.7,Other,1270,1336,1310,
,07/12/2006,389.2,Other,1280,1336,1310,
,08/12/2006,471.3,Other,1261,1344,1310,
,09/12/2006,528.8,Other,1261,1341,1310,
,11/12/2006,523.1,Other,1271,1339,1305,
,12/12/2006,376,Other,1281,1346,1315,
,14/12/2006,373.3,Other,1277,1346,1320,
,15/12/2006,361,Other,1281,1356,1320,
,16/12/2006,512.7,Other,1250,1336,1320,
,18/12/2006,467.9,Other,1268,1323,1305,
,19/12/2006,282,Other,1285,1320,1300,
,20/12/2006,333.5,Other,1291,1324,1305,
,21/12/2006,273.9,Other,1280,1335,1315,
,22/12/2006,384.9,Other,1270,1345,1310,
,23/12/2006,431.8,Other,1271,1346,1320,
,25/12/2006,300.9,Other,1321,1355,1340,
,27/12/2006,679.6,Other,1311,1372,1350,
,28/12/2006,717.1,Other,1310,1360,1335,
,29/12/2006,743.9,Other,1295,1352,1335,
,30/12/2006,530.4,Other,1310,1370,1325,
Pratapgarh,01/12/2006,70.5,Other,1310,1371,1340,
,02/12/2006,78.1,Other,1302,1335,1320,
,03/12/2006,90.7,Other,1304,1338,1320,
,05/12/2006,104.3,Other,1250,1305,1275,
,06/12/2006,61.4,Other,1297,1321,1310,
,07/12/2006,57.3,Other,1280,1313,1300,
,08/12/2006,39.1,Other,1290,1331,1310,
,09/12/2006,63.4,Other,1280,1321,1305,
,10/12/2006,79.6,Other,1252,1318,1285,
,12/12/2006,47.6,Other,1290,1337,1315,
,13/12/2006,65,Other,1265,1330,1300,
,14/12/2006,71.5,Other,1290,1330,1310,
,15/12/2006,83,Other,1280,1320,1300,
,16/12/2006,102.8,Other,1270,1315,1290,
,17/12/2006,69.7,Other,1280,1315,1300,
,19/12/2006,60.9,Other,1280,1312,1300,
,20/12/2006,41.7,Other,1260,1319,1290,
,21/12/2006,49,Other,1250,1329,1290,
,22/12/2006,86.9,Other,1297,1330,1315,
,23/12/2006,82.3,Other,1279,1553,1315,
,24/12/2006,177.8,Other,1330,1366,1350,
,26/12/2006,153.9,Other,1330,1365,1350,
,27/12/2006,204.3,Other,1290,1361,1325,
,28/12/2006,88.3,Other,1302,1362,1335,
,29/12/2006,90.3,Other,1309,1359,1335,
,30/12/2006,95,Other,1330,1355,1340,
,31/12/2006,98.6,Other,1300,1347,1325,
Ramaganj Mandi,01/12/2006,130.8, ,NR,NR,NR,
,02/12/2006,98.7,Other,1302,1338,1331,
,04/12/2006,136.2,Other,1238,1319,1314,
,05/12/2006,57.7,Other,1288,1322,1315,
,06/12/2006,65.3,Other,1270,1327,1318,
,08/12/2006,84.7,Other,1212,1335,1320,
,11/12/2006,96.5,Other,1288,1319,1317,
,12/12/2006,68.4,Other,1250,1338,1322,
,14/12/2006,45.9,Other,1240,1327,1314,
,15/12/2006,67.2,Other,1150,1325,1310,
,18/12/2006,485,Other,1271,1299,1288,
,19/12/2006,457,Other,1248,1300,1290,
,20/12/2006,350,Other,1255,1307,1300,
,21/12/2006,440,Other,1278,1316,1297,
,22/12/2006,705, ,NR,NR,NR,
,26/12/2006,765,Other,1265,1347,1310,
,28/12/2006,68.2,Other,1291,1346,1322,
,29/12/2006,59.7,Other,999,1343,1323,
,30/12/2006,55.3,Other,1290,1344,1329,
Sawai Madhopur,01/12/2006,3,Yellow,1334,1334,1334,
,04/12/2006,3.9, ,NR,NR,NR,
,05/12/2006,0.4,Yellow,1285,1285,1285,
,07/12/2006,0.2,Yellow,1275,1275,1275,
,08/12/2006,0.3,Yellow,1255,1301,1301,
,11/12/2006,3.4,Yellow,1260,1291,1291,
,12/12/2006,0.6,Yellow,1324,1327,1325,
,15/12/2006,0.4,Yellow,1300,1300,1300,
,16/12/2006,0.5, ,NR,NR,NR,
,20/12/2006,0.8, ,NR,NR,NR,
,22/12/2006,1,Yellow,1281,1281,1281,
