Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Atru,01/02/2006,14.6,Yellow,1098,1121,1110,
,02/02/2006,16.6,Yellow,1095,1116,1106,
,03/02/2006,8.8,Yellow,1112,1128,1120,
,04/02/2006,2.2,Yellow,1107,1121,1114,
,06/02/2006,20.4,Yellow,1080,1137,1109,
,07/02/2006,29.3,Yellow,1087,1129,1108,
,08/02/2006,22.7, ,NR,NR,NR,
,09/02/2006,6.3, ,NR,NR,NR,
,25/02/2006,16.4,Yellow,1119,1126,1123,
,27/02/2006,14.5,Yellow,1095,1122,1109,
,28/02/2006,8.8,Yellow,1113,1130,1122,
Baran,01/02/2006,198,Yellow,1095,1135,1115,
,02/02/2006,67.5,Yellow,1090,1122,1107,
,03/02/2006,80,Yellow,1090,1130,1110,
,04/02/2006,40,Yellow,1100,1129,1115,
,06/02/2006,99,Yellow,1100,1149,1125,
,07/02/2006,130,Yellow,1090,1145,1121,
,08/02/2006,108,Yellow,1080,1132,1110,
,10/02/2006,108,Yellow,1101,1154,1128,
,11/02/2006,81,Yellow,1101,1143,1121,
,14/02/2006,63,Yellow,1103,1136,1120,
,15/02/2006,54,Yellow,1100,1123,1112,
,17/02/2006,72,Yellow,1105,1150,1129,
,18/02/2006,171,Yellow,1127,1161,1144,
,20/02/2006,171,Yellow,1127,1161,1144,
,21/02/2006,54,Yellow,1096,1135,1119,
,22/02/2006,126,Yellow,1106,1134,1120,
,23/02/2006,31.5,Yellow,1101,1135,1118,
,24/02/2006,95,Yellow,1088,1145,1126,
,25/02/2006,51,Yellow,1102,1150,1126,
,27/02/2006,22,Yellow,1074,1137,1126,
,28/02/2006,99,Yellow,1080,1139,1125,
Begu,06/02/2006,45.7,Other,1125,1150,1135,
,07/02/2006,55.3,Other,1090,1140,1125,
,14/02/2006,35.3,Other,1115,1135,1125,
,17/02/2006,50.9,Other,1115,1150,1135,
Bhilwara,02/02/2006,8,Local,1080,1080,1080,
,03/02/2006,3,Local,1080,1091,1086,
,06/02/2006,10,Local,1090,1095,1093,
,07/02/2006,20,Local,1090,1101,1096,
,08/02/2006,15,Local,1090,1100,1095,
,17/02/2006,2,Local,1090,1100,1095,
,23/02/2006,10,Local,1001,1001,1001,
,28/02/2006,40,Local,1050,1085,1068,
Bundi,01/02/2006,86.6,Other,1090,1144,1130,
,02/02/2006,42.6,Other,1048,1133,1120,
,03/02/2006,48.5,Other,1040,1141,1110,
,04/02/2006,30,Other,1094,1142,1110,
,06/02/2006,38,Other,1112,1146,1120,
,07/02/2006,49.5,Other,1090,1141,1120,
,08/02/2006,54.6,Other,1090,1140,1120,
