Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Atru,17/01/2006,37.4,Yellow,1095,1127,1111,
,19/01/2006,18.6,Yellow,1095,1109,1102,
,20/01/2006,22.8,Yellow,1085,1115,1100,
,21/01/2006,14,Yellow,1081,1119,1100,
,25/01/2006,19.5,Yellow,1097,1119,1108,
Baran,02/01/2006,288,Yellow,1050,1103,1075,
,03/01/2006,216,Yellow,1053,1113,1085,
,04/01/2006,198,Yellow,1057,1136,1103,
,05/01/2006,252,Yellow,1052,1125,1089,
,06/01/2006,243,Yellow,1031,1108,1084,
,07/01/2006,279,Yellow,1069,1145,1105,
,09/01/2006,324,Yellow,1115,1149,1132,
,10/01/2006,310.5,Yellow,1109,1134,1122,
,11/01/2006,198,Yellow,1105,1133,1119,
,12/01/2006,306,Yellow,1100,1124,1112,
,13/01/2006,216,Yellow,1095,1121,1108,
,16/01/2006,198,Yellow,1040,1134,1095,
,17/01/2006,207,Yellow,1075,1138,1108,
,18/01/2006,180,Yellow,1075,1130,1105,
,19/01/2006,171,Yellow,1081,1120,1096,
,20/01/2006,162,Yellow,1074,1121,1100,
,21/01/2006,216,Yellow,1080,1130,1106,
,25/01/2006,180,Yellow,1082,1130,1108,
,28/01/2006,153,Yellow,1091,1140,1116,
,30/01/2006,189,Yellow,1103,1144,1124,
,31/01/2006,144,Yellow,1105,1145,1125,
Begu,02/01/2006,12.5,Other,1090,1110,1100,
,03/01/2006,9,Other,1080,1100,1090,
,04/01/2006,31.9, ,NR,NR,NR,
,05/01/2006,36.1,Other,1095,1110,1100,
,06/01/2006,7.1,Other,1095,1115,1110,
,16/01/2006,50.6,Other,1105,1135,1120,
,23/01/2006,60.5,Other,1105,1120,1115,
,24/01/2006,81,Other,1110,1140,1125,
,25/01/2006,35.1,Other,1110,1140,1125,
,28/01/2006,40.7,Other,1090,1125,1110,
Bhilwara,02/01/2006,54,Local,1051,1068,1060,
,03/01/2006,2,Local,1065,1065,1065,
,04/01/2006,25,Local,1000,1090,1045,
,05/01/2006,2,Local,1010,1090,1050,
,06/01/2006,26,Local,1050,1090,1070,
,07/01/2006,12,Local,1101,1111,1106,
,09/01/2006,58,Local,1090,1110,1100,
,10/01/2006,10,Local,1101,1115,1108,
,12/01/2006,16,Local,1100,1101,1101,
,13/01/2006,34,Local,1090,1100,1095,
,16/01/2006,25,Local,1080,1105,1093,
,17/01/2006,4,Local,1105,1105,1105,
,18/01/2006,1,Local,1150,1150,1150,
,20/01/2006,10,Local,980,1095,1038,
,21/01/2006,11,Local,970,1090,1030,
,23/01/2006,33,Local,970,1100,1035,
,25/01/2006,20,Local,1090,1100,1095,
,27/01/2006,1,Local,1050,1110,1080,
,28/01/2006,8,Local,1060,1115,1088,
,30/01/2006,6,Local,1080,1090,1088,
Bundi,02/01/2006,113.5,Other,1063,1095,1075,
,03/01/2006,125,Other,1070,1100,1085,
,04/01/2006,158,Other,1083,1126,1100,
,05/01/2006,131,Other,1086,1123,1100,
,06/01/2006,145,Other,1081,1117,1105,
,07/01/2006,102,Other,1093,1126,1110,
,09/01/2006,107.5,Other,1090,1149,1120,
,10/01/2006,114,Other,1040,1139,1115,
,12/01/2006,225.5,Other,1077,1132,1120,
,13/01/2006,79.5,Other,1033,1119,1110,
,16/01/2006,63,Other,1080,1128,1100,
,17/01/2006,130.5,Other,1086,1146,1100,
,18/01/2006,143.5,Other,900,1128,1115,
,19/01/2006,100.5,Other,1056,1127,1110,
,20/01/2006,5.2,Other,1082,1117,1100,
,21/01/2006,77.2,Other,1090,1130,1110,
,23/01/2006,75.5,Other,1115,1442,1135,
,24/01/2006,165,Other,1080,1137,1125,
,25/01/2006,112.1,Other,1099,1130,1120,
,27/01/2006,84.5,Other,1085,1126,1115,
,28/01/2006,56.5,Other,1121,1139,1130,
,30/01/2006,66,Other,1101,1143,1125,
,31/01/2006,66.5,Other,1115,1153,1135,
Chhabra,13/01/2006,48,Yellow,1105,1128,1124,
,16/01/2006,62,Yellow,1085,1120,1119,
,17/01/2006,97,Yellow,1100,1126,1124,
,19/01/2006,35,Yellow,1107,1122,1119,
,20/01/2006,68,Yellow,1122,1142,1130,
,21/01/2006,58,Yellow,1114,1121,1118,
,24/01/2006,72,Yellow,1116,1134,1130,
,25/01/2006,42.5,Yellow,1121,1129,1127,
,28/01/2006,50.5,Yellow,1111,1121,1118,
,30/01/2006,445,Other,1100,1129,1124,
,31/01/2006,811,Other,1120,1139,1136,
Itawa,02/01/2006,93.2,Other,1078,1096,1090,
,03/01/2006,106.8,Other,1080,1109,1095,
,04/01/2006,118.2,Other,1090,1122,1115,
,05/01/2006,85.9,Other,1098,1122,1115,
,06/01/2006,121.6,Other,1090,1106,1100,
,07/01/2006,101.8,Other,1112,1127,1120,
,09/01/2006,73.4,Other,1111,1145,1140,
,10/01/2006,90,Other,1100,1138,1130,
,12/01/2006,85,Other,1081,1129,1125,
,13/01/2006,73.1,Other,1076,1125,1115,
,14/01/2006,3,Other,1119,1126,1124,
,16/01/2006,142.4,Other,1118,1139,1130,
,17/01/2006,59.5,Other,1111,1134,1125,
,18/01/2006,26.8,Other,1050,1122,1110,
,19/01/2006,28.3,Other,1091,1124,1115,
,20/01/2006,53,Other,1100,1122,1115,
,21/01/2006,48.5,Other,1100,1127,1120,
,23/01/2006,66.2,Other,1071,1128,1120,
,24/01/2006,63.4,Other,1078,1132,1125,
