Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Atru,01/07/2006,4,Black,1100,1213,1107,
,03/07/2006,7.1,Black,1193,1215,1204,
,04/07/2006,5.6,Black,1090,1212,1195,
,05/07/2006,6.9,Black,1160,1198,1179,
,06/07/2006,5.9,Black,1178,1192,1185,
,07/07/2006,12.4,Black,1182,1206,1194,
,08/07/2006,4.8,Black,1050,1207,1129,
,10/07/2006,6.7,Black,1169,1200,1185,
,11/07/2006,0.7,Black,1168,1200,1184,
,12/07/2006,1.5,Black,1172,1208,1190,
,13/07/2006,1.9,Black,910,1215,1063,
,14/07/2006,9.2,Black,1200,1229,1215,
,15/07/2006,4.3,Black,1096,1271,1184,
,17/07/2006,3.2,Black,1235,1254,1246,
,18/07/2006,6.7,Black,1212,1250,1231,
,20/07/2006,4.3,Black,1172,1228,1200,
,21/07/2006,0.5,Black,1214,1216,1215,
,22/07/2006,4.7,Black,1183,1208,1195,
Baran,01/07/2006,63,Yellow,1198,1300,1214,
,04/07/2006,72,Yellow,1070,1225,1184,
,05/07/2006,81,Yellow,1170,1227,1200,
,06/07/2006,45,Yellow,1170,1204,1187,
,07/07/2006,81,Yellow,1150,1204,1175,
,08/07/2006,85.5,Yellow,1157,1209,1183,
,10/07/2006,94.5,Yellow,1160,1203,1181,
,11/07/2006,90,Yellow,1160,1191,1176,
,12/07/2006,12,Yellow,1170,1195,1182,
,13/07/2006,117,Yellow,1190,1216,1203,
,14/07/2006,54,Yellow,1199,1228,1214,
,15/07/2006,58.5,Yellow,1210,1268,1240,
,17/07/2006,126,Yellow,1228,1266,1247,
,18/07/2006,58.5,Yellow,1230,1258,1244,
,19/07/2006,81,Yellow,1205,1242,1224,
,20/07/2006,45,Yellow,1205,1238,1223,
,21/07/2006,6.5,Yellow,1210,1235,1219,
,22/07/2006,36,Yellow,1202,1233,1218,
,24/07/2006,28.8,Yellow,1205,1235,1220,
,25/07/2006,18,Yellow,1200,1232,1215,
,26/07/2006,29,Yellow,1196,1228,1212,
,27/07/2006,30,Yellow,1195,1221,1209,
,28/07/2006,6,Yellow,1174,1175,1174,
,29/07/2006,21,Yellow,1190,1219,1204,
,31/07/2006,66,Yellow,1190,1219,1205,
Bhawani Mandi,01/07/2006,3,Other,1177,1215,1186,
,03/07/2006,32.5,Other,1160,1209,1185,
,04/07/2006,35,Other,1131,1206,1190,
,05/07/2006,23,Other,1171,1193,1185,
,06/07/2006,45,Other,1120,1188,1160,
,07/07/2006,70,Other,1096,1193,1185,
,08/07/2006,70.5,Other,1050,1186,1175,
,10/07/2006,47,Other,941,1171,1168,
,11/07/2006,30,Other,1150,1183,1175,
,12/07/2006,18,Other,1141,1201,1185,
,13/07/2006,14,Other,1081,1202,1185,
,14/07/2006,27.5,Other,1080,1225,1195,
,17/07/2006,47.5,Other,1175,1224,1196,
,18/07/2006,47,Other,1179,1216,1195,
,19/07/2006,41,Other,1157,1212,1193,
,20/07/2006,19,Other,1154,1214,1200,
,22/07/2006,25,Other,1160,1205,1192,
,24/07/2006,65,Other,1192,1202,1200,
Bhilwara,03/07/2006,8,Local,1111,1125,1118,
,06/07/2006,15,Local,1125,1150,1138,
,10/07/2006,10,Local,1150,1160,1155,
,14/07/2006,15,Local,1150,1171,1161,
,24/07/2006,8,Local,1151,1151,1151,
Bundi,01/07/2006,2.6,Other,1110,1219,1164,
,03/07/2006,7.2,Other,1141,1217,1175,
,04/07/2006,10.7,Other,1114,1220,1200,
,07/07/2006,15.2,Other,1051,1208,1129,
,08/07/2006,9,Other,1131,1525,1350,
,10/07/2006,47.4,Other,1130,1207,1160,
,11/07/2006,11,Other,1180,1206,1190,
,14/07/2006,21.8,Other,1171,1269,1220,
,19/07/2006,14.2,Other,1205,1230,1215,
,24/07/2006,6.6,Other,1150,1220,1195,
,28/07/2006,8.2,Other,1207,1223,1215,
,29/07/2006,2.7,Other,1162,1220,1210,
Chhabra,02/07/2006,17,Other,1234,1237,1236,
,03/07/2006,87,Other,1227,1236,1231,
Itawa,01/07/2006,8.5,Other,1215,1221,1218,
,03/07/2006,22,Other,1190,1224,1215,
,04/07/2006,6,Other,1182,1223,1210,
,05/07/2006,9.2,Other,1196,1220,1205,
,06/07/2006,7.5,Other,1140,1224,1200,
,07/07/2006,4,Other,1180,1221,1200,
,08/07/2006,6.5,Other,1194,1228,1210,
,10/07/2006,25,Other,1198,1228,1214,
,11/07/2006,8,Other,1165,1210,1190,
,12/07/2006,5,Other,1130,1213,1195,
,13/07/2006,15.1,Other,1179,1231,1220,
,14/07/2006,26.7,Other,1167,1246,1230,
,15/07/2006,11.4,Other,1235,1282,1260,
,17/07/2006,29.8,Other,1236,1269,1260,
,18/07/2006,27.7,Other,1215,1260,1240,
,19/07/2006,13,Other,1211,1261,1250,
,20/07/2006,19.4,Other,1225,1251,1240,
,22/07/2006,7.1,Other,1198,1235,1225,
,24/07/2006,15.8,Other,1138,1230,1220,
,25/07/2006,4.3,Other,1190,1234,1229,
,26/07/2006,11.3,Other,1208,1230,1225,
,27/07/2006,30,Other,1186,1218,1200,
,29/07/2006,6.6, ,NR,NR,NR,
Jhalarapatan,01/07/2006,22.1,Other,1195,1213,1210,
,03/07/2006,9.6,Other,1100,1216,1210,
,04/07/2006,18.6,Other,1109,1207,1205,
,05/07/2006,16.2,Other,1180,1200,1190,
,06/07/2006,40.6,Other,1150,1210,1185,
,07/07/2006,54.1,Other,1051,1190,1175,
,08/07/2006,45.3,Other,1146,1185,1173,
,10/07/2006,37.8,Other,1000,1176,1174,
,11/07/2006,5.7,Other,1050,1182,1166,
,12/07/2006,12.4,Other,1180,1194,1187,
,13/07/2006,7.9,Other,1140,1204,1190,
,14/07/2006,7.2,Other,1165,1210,1200,
,15/07/2006,16.8,Other,1181,1229,1215,
,17/07/2006,16,Other,1203,1232,1232,
,18/07/2006,13.2,Other,1201,1222,1215,
,19/07/2006,13.6,Other,1200,1214,1205,
,20/07/2006,4.9,Other,1101,1213,1206,
,21/07/2006,3,Other,1203,1223,1203,
,22/07/2006,6.3,Other,1191,1213,1207,
,24/07/2006,16.6,Other,1121,1216,1210,
,25/07/2006,0.5,Other,1190,1205,1205,
,26/07/2006,7.2,Other,1190,1200,1199,
,27/07/2006,24.2,Other,1174,1190,1189,
,29/07/2006,12.6,Other,1169,1206,1197,
,31/07/2006,6.8,Other,1183,1211,1200,
Kota,03/07/2006,110.2,Other,1185,1230,1215,
,04/07/2006,59.9,Other,1180,1242,1220,
,06/07/2006,102.4,Other,1095,1213,1200,
,07/07/2006,138.2,Other,1181,1249,1215,
,08/07/2006,194.9,Other,1180,1240,1205,
,10/07/2006,297.5,Other,1190,1225,1205,
,11/07/2006,120.5,Other,1145,1205,1190,
,12/07/2006,108.4,Other,1118,1231,1205,
,13/07/2006,142.5,Other,1185,1260,1235,
,14/07/2006,210.4,Other,1181,1263,1250,
,15/07/2006,147.8,Other,1151,1295,1223,
,17/07/2006,146.7,Other,1171,1282,1250,
,18/07/2006,173.4,Other,1182,1272,1250,
,19/07/2006,122.5,Other,1190,1254,1240,
,20/07/2006,95.8,Other,1190,1235,1205,
,21/07/2006,32.4,Other,1191,1225,1200,
,22/07/2006,65.5,Other,1165,1226,1210,
,24/07/2006,95.5,Other,1190,1231,1205,
,25/07/2006,56,Other,1200,1231,1210,
,26/07/2006,98.3,Other,1171,1235,1215,
,27/07/2006,81.5,Other,1152,1222,1200,
,28/07/2006,57.5,Other,1175,1215,1190,
,29/07/2006,37.8,Other,1172,1218,1195,
,31/07/2006,121.5,Other,1190,1228,1200,
Nimbahera,14/07/2006,14.4,Other,1200,1228,1214,
,15/07/2006,28.7,Other,1151,1241,1200,
,17/07/2006,9.2,Other,1215,1244,1230,
,22/07/2006,29.3,Other,1146,1224,1180,
,28/07/2006,1.3,Other,1150,1172,1160,
,29/07/2006,8.5,Other,1150,1195,1170,
,31/07/2006,8.5,Other,1150,1195,1175,
Pratapgarh,01/07/2006,55.3,Other,1147,1167,1160,
,02/07/2006,43.6,Other,1136,1172,1155,
,04/07/2006,42.5,Other,1124,1176,1150,
,05/07/2006,34.2,Other,1120,1169,1145,
,06/07/2006,10.6,Other,1137,1160,1150,
,08/07/2006,37.9,Other,1125,1164,1145,
,09/07/2006,71.3,Other,1135,1164,1150,
,11/07/2006,24.4,Other,1152,1169,1160,
,12/07/2006,16.6,Other,1168,1183,1175,
,13/07/2006,25.6,Other,1140,1185,1160,
,14/07/2006,14.4,Other,1170,1200,1185,
,15/07/2006,2.9,Other,1209,1214,1212,
,16/07/2006,16.7,Other,1200,1241,1220,
,18/07/2006,40,Other,1200,1222,1210,
,19/07/2006,28.2,Other,981,1209,1095,
,20/07/2006,10.4,Other,1080,1200,1140,
,21/07/2006,1.2,Other,1196,1198,1197,
,22/07/2006,21.1,Other,1170,1193,1180,
,23/07/2006,25,Other,1160,1182,1171,
,26/07/2006,15.6,Other,1160,1178,1170,
,27/07/2006,7.2,Other,1150,1183,1165,
,29/07/2006,15.5,Other,1178,1201,1190,
,30/07/2006,7,Other,1140,1184,1160,
Ramaganj Mandi,03/07/2006,4,Other,1111,1216,1190,
,04/07/2006,6,Other,1110,1188,1175,
,05/07/2006,7.7,Other,900,1168,1157,
,06/07/2006,11.5,Other,801,1166,1148,
,07/07/2006,5.1,Other,891,1186,1175,
,10/07/2006,11.6,Other,941,1189,1186,
,11/07/2006,17.7,Other,1091,1189,1183,
,12/07/2006,12.3,Other,1131,1186,1185,
,13/07/2006,15.2,Other,1070,1210,1190,
,14/07/2006,12,Other,801,1205,1191,
,16/07/2006,9,Other,1175,1207,1191,
,17/07/2006,10.3,Other,1180,1240,1229,
,18/07/2006,12.9,Other,1160,1250,1228,
,19/07/2006,4.6,Other,1203,1225,1225,
,20/07/2006,5.3,Other,1161,1237,1216,
,25/07/2006,3.7,Other,1121,1193,1187,
,26/07/2006,7.6,Other,1160,1186,1184,
,27/07/2006,3.1,Other,1160,1195,1189,
,29/07/2006,4.5,Other,1172,1189,1187,
Sawai Madhopur,08/07/2006,0.6,Yellow,1100,1100,1100,
,13/07/2006,0.4,Yellow,1040,1040,1040,
,14/07/2006,0.5,Yellow,1129,1129,1129,
,17/07/2006,0.4, ,NR,NR,NR,
