Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Atru,01/06/2006,0.4,Black,1180,1191,1186,
,05/06/2006,0.8,Black,1218,1228,1223,
,06/06/2006,1.3,Black,1240,1268,1254,
,07/06/2006,0.6,Black,1225,1225,1225,
,08/06/2006,0.1,Black,1210,1210,1210,
,09/06/2006,0.2,Black,1199,1240,1215,
,13/06/2006,0.1,Black,1229,1229,1229,
,14/06/2006,0.5,Black,1216,1223,1220,
,15/06/2006,0.1,Black,1220,1220,1220,
,16/06/2006,1.4,Black,1208,1212,1210,
,19/06/2006,6.3,Black,1191,1212,1202,
,20/06/2006,1.8,Black,1181,1209,1195,
,21/06/2006,3.9,Black,1195,1205,1200,
,23/06/2006,0.9,Black,1189,1200,1195,
,24/06/2006,1,Black,1196,1206,1201,
,27/06/2006,4.1,Black,1184,1213,1199,
,29/06/2006,5.6,Black,1005,1269,1137,
,30/06/2006,4.6,Black,1180,1214,1197,
Baran,01/06/2006,18,Yellow,1212,1247,1232,
,03/06/2006,10,Yellow,1170,1230,1199,
,05/06/2006,40.5,Yellow,1180,1250,1215,
,06/06/2006,36,Yellow,1195,1235,1215,
,07/06/2006,31.5,Yellow,1181,1220,1200,
,08/06/2006,36,Yellow,1210,1226,1215,
,09/06/2006,29.5,Yellow,1199,1234,1221,
,10/06/2006,31.5,Yellow,1201,1229,1215,
,12/06/2006,49.5,Yellow,1192,1226,1213,
,13/06/2006,24.5,Yellow,1204,1238,1227,
,14/06/2006,26.5,Yellow,1125,1210,1198,
,15/06/2006,36,Yellow,1192,1225,1210,
,16/06/2006,34,Yellow,1175,1228,1200,
,17/06/2006,49.5,Yellow,1196,1224,1210,
,19/06/2006,40.5,Yellow,1203,1224,1214,
,20/06/2006,40.5,Yellow,1190,1230,1210,
,21/06/2006,36,Yellow,1197,1217,1206,
,22/06/2006,54,Yellow,1195,1217,1206,
,23/06/2006,36,Yellow,1199,1230,1214,
,24/06/2006,49.5,Yellow,1190,1222,1206,
,26/06/2006,49.5,Yellow,1190,1306,1210,
,27/06/2006,78,Yellow,1187,1224,1205,
,28/06/2006,27,Yellow,1197,1220,1209,
,29/06/2006,34.5,Yellow,1200,1228,1214,
,30/06/2006,24.5,Yellow,1180,1215,1200,
Bhawani Mandi,01/06/2006,27,Other,1001,1241,1240,
,03/06/2006,30,Other,1185,1250,1240,
,05/06/2006,72.5,Other,1220,1255,1254,
,06/06/2006,32,Other,1204,1244,1243,
,07/06/2006,53.5,Other,1101,1232,1230,
,08/06/2006,38,Other,1191,1236,1235,
,09/06/2006,48,Other,1191,1230,1229,
,10/06/2006,47,Other,1150,1236,1235,
,12/06/2006,47.5,Other,1130,1240,1239,
,13/06/2006,35,Other,1031,1248,1244,
,14/06/2006,23,Other,1118,1233,1232,
,15/06/2006,42.5,Other,1186,1227,1224,
,16/06/2006,11.8,Other,1150,1226,1190,
,17/06/2006,32.8,Other,1111,1222,1118,
,19/06/2006,62.9,Other,1050,1214,1200,
,20/06/2006,20.5,Other,1178,1197,1196,
,21/06/2006,35,Other,1160,1205,1194,
,22/06/2006,22.5,Other,1016,1210,1198,
,23/06/2006,20,Other,1150,1205,1198,
,24/06/2006,30,Other,1169,1204,1195,
,27/06/2006,30,Other,1126,1195,1185,
,28/06/2006,39,Other,1100,1218,1195,
,29/06/2006,13,Other,1150,1199,1190,
,30/06/2006,5.5,Other,1164,1199,1180,
Bhilwara,24/06/2006,15,Local,1100,1125,1113,
,26/06/2006,6,Local,2900,3200,3150,
Bundi,02/06/2006,0.5,Other,1205,1205,1205,
,03/06/2006,3,Other,1235,1235,1235,
,05/06/2006,9.6,Other,1215,1525,1220,
,06/06/2006,9.6,Other,1230,1284,1275,
,07/06/2006,5.2,Other,1100,1238,1225,
,09/06/2006,46.5,Other,1200,1266,1210,
,10/06/2006,23.7,Other,1155,1232,1225,
,12/06/2006,10.9,Other,1203,1224,1215,
,13/06/2006,11.2,Other,1170,1239,1230,
,14/06/2006,34.4,Other,1199,1234,1225,
,15/06/2006,34.6,Other,1172,1225,1210,
,16/06/2006,26.8,Other,1193,1228,1220,
,19/06/2006,9.4,Other,1125,1212,1200,
,20/06/2006,9.5,Other,1145,1198,1185,
,21/06/2006,12.9,Other,1188,1210,1200,
,22/06/2006,10,Other,1169,1190,1180,
,23/06/2006,1.5,Other,1200,1215,1210,
,30/06/2006,21.1,Other,1185,1219,1210,
Chhabra,06/06/2006,80,Other,1246,1254,1254,
,07/06/2006,85,Other,1248,1253,1250,
,08/06/2006,50,Other,1239,1242,1241,
,13/06/2006,60,Other,1246,1248,1247,
,14/06/2006,85,Other,1244,1249,1248,
,16/06/2006,85,Other,1234,1248,1240,
,17/06/2006,14,Other,1238,1238,1238,
,23/06/2006,90,Other,1220,1220,1220,
,26/06/2006,46,Other,1221,1228,1225,
,28/06/2006,50,Other,1100,1225,1224,
,29/06/2006,35,Other,1210,1224,1211,
,30/06/2006,50,Other,1206,1229,1227,
Itawa,01/06/2006,5.7,Other,1181,1258,1255,
,05/06/2006,2.3,Other,1180,1248,1240,
,06/06/2006,1.1,Other,1221,1245,1240,
,07/06/2006,5.5,Other,1220,1256,1245,
,08/06/2006,3.5,Other,1240,1249,1245,
,09/06/2006,0.7, ,NR,NR,NR,
,10/06/2006,2.8,Other,1239,1239,1239,
,12/06/2006,2.5,Other,1253,1253,1253,
,13/06/2006,5.7,Other,1192,1240,1220,
,14/06/2006,2.7,Other,1138,1241,1238,
,15/06/2006,4.9,Other,1168,1237,1200,
,16/06/2006,14.5,Other,1199,1235,1230,
,17/06/2006,5.6,Other,1202,1223,1213,
,19/06/2006,0.6,Other,1194,1225,1225,
,20/06/2006,4.7,Other,1190,1222,1220,
,21/06/2006,6.2,Other,1205,1217,1210,
,22/06/2006,4,Other,1213,1216,1215,
,23/06/2006,6.6,Other,1206,1221,1213,
,25/06/2006,2.4,Other,1218,1218,1218,
