Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Atru,01/03/2006,11.6, ,NR,NR,NR,
,02/03/2006,1.4,Black,1145,1148,1147,
,03/03/2006,3.4,Black,1100,1145,1123,
,04/03/2006,8,Black,1110,1134,1122,
,06/03/2006,6.4,Black,1090,1100,1095,
,07/03/2006,0.8,Black,1115,1115,1115,
,08/03/2006,0.3,Black,1127,1127,1127,
,09/03/2006,0.5,Black,1114,1124,1120,
,10/03/2006,0.4,Black,1122,1122,1122,
,13/03/2006,1.9,Black,1125,1125,1125,
,17/03/2006,1.9,Black,1109,1109,1109,
,18/03/2006,1.6,Black,1087,1114,1101,
Baran,01/03/2006,58,Yellow,1075,1149,1123,
,02/03/2006,52,Yellow,1100,1151,1129,
,03/03/2006,99.5,Yellow,1122,1154,1135,
,04/03/2006,80,Yellow,1094,1139,1125,
,06/03/2006,85,Yellow,1124,1145,1129,
,07/03/2006,20.4,Yellow,981,1136,1130,
,08/03/2006,30.5,Yellow,1121,1136,1130,
,09/03/2006,19,Yellow,1090,1137,1118,
,10/03/2006,24.5,Yellow,1101,1140,1133,
,11/03/2006,9,Yellow,1115,1138,1127,
,13/03/2006,22.5,Yellow,1095,1138,1124,
,14/03/2006,4.5,Yellow,1139,1139,1139,
,17/03/2006,3.6,Yellow,1107,1123,1122,
,18/03/2006,9,Yellow,1095,1115,1105,
,20/03/2006,36,Yellow,1100,1115,1108,
,21/03/2006,18,Yellow,1100,1122,1115,
,22/03/2006,16,Yellow,1033,1120,1110,
,23/03/2006,15,Yellow,1065,1118,1105,
,24/03/2006,39.5,Yellow,1075,1128,1100,
,25/03/2006,4.5,Yellow,1075,1105,1105,
,27/03/2006,13,Yellow,1090,1108,1100,
,28/03/2006,12.5,Yellow,1091,1110,1107,
,29/03/2006,13.5,Yellow,1025,1105,1050,
,30/03/2006,13.5,Yellow,1090,1105,1100,
Bhawani Mandi,04/03/2006,8.4,Other,1130,1139,1135,
,07/03/2006,18.4,Other,1065,1135,1100,
,08/03/2006,15.6,Other,1051,1131,1128,
,09/03/2006,11.5,Other,1088,1131,1125,
,10/03/2006,14,Other,1090,1120,1118,
,11/03/2006,0.5,Other,1115,1115,1115,
,13/03/2006,8,Other,1060,1129,1122,
,17/03/2006,6,Other,1109,1120,1112,
,18/03/2006,18.5,Other,1090,1119,1117,
,20/03/2006,30,Other,1080,1118,1117,
,21/03/2006,30,Other,1075,1113,1109,
,22/03/2006,26,Other,1050,1112,1111,
,23/03/2006,28,Other,1058,1111,1098,
,24/03/2006,11,Other,1080,1119,1116,
,25/03/2006,18,Other,1040,1116,1114,
,27/03/2006,20.5,Other,1080,1119,1118,
,28/03/2006,32.5,Other,1088,1120,1117,
,31/03/2006,37,Other,1040,1106,1075,
Bhilwara,06/03/2006,2,Local,1080,1080,1080,
,07/03/2006,5,Local,1080,1090,1085,
,13/03/2006,20,Local,1040,1110,1075,
,16/03/2006,43,Local,1080,1090,1085,
,17/03/2006,18,Local,1080,1105,1093,
,20/03/2006,5,Local,1080,1080,1080,
,21/03/2006,5,Local,1080,1080,1080,
Bundi,01/03/2006,8,Other,1050,1141,1130,
,02/03/2006,9.5,Other,1112,1137,1119,
,03/03/2006,12,Other,1070,1170,1155,
,04/03/2006,23.1,Other,1112,1166,1155,
,06/03/2006,54.9,Other,1120,1168,1155,
,07/03/2006,18.3,Other,1085,1157,1150,
,08/03/2006,27.6,Other,1128,1152,1150,
,09/03/2006,16.9,Other,1111,1163,1150,
,10/03/2006,19.2,Other,1080,1141,1130,
,11/03/2006,20.2,Other,1080,1137,1130,
,14/03/2006,19.7,Other,1111,1139,1130,
,17/03/2006,3.8,Other,1099,1125,1115,
,18/03/2006,5.5,Other,1110,1125,1120,
,20/03/2006,12.5,Other,1082,1127,1120,
,21/03/2006,18.1,Other,850,1118,1100,
,22/03/2006,11.5,Other,1060,1109,1100,
,23/03/2006,12.5,Other,1098,1121,1110,
,24/03/2006,8.5,Other,1104,1112,1108,
,27/03/2006,14.7,Other,1080,1124,1115,
,28/03/2006,21.5,Other,1000,1120,1110,
,29/03/2006,5.2,Other,1115,1115,1115,
,30/03/2006,6.8,Other,1031,1113,1070,
,31/03/2006,2.8,Other,1110,1110,1110,
Chhabra,01/03/2006,7.7,Yellow,1000,1137,1131,
,03/03/2006,0.9, ,NR,NR,NR,
,06/03/2006,3.2,Yellow,1143,1143,1143,
,07/03/2006,41.2,Yellow,1125,1140,1130,
,17/03/2006,3,Yellow,1128,1128,1128,
Deoli,24/03/2006,11,Other,580,585,582,
Itawa,01/03/2006,22.6,Other,1120,1158,1145,
,02/03/2006,17,Other,1129,1165,1160,
,03/03/2006,20,Other,1141,1166,1160,
,04/03/2006,15.2,Other,1139,1161,1155,
,06/03/2006,6,Other,1141,1159,1150,
,07/03/2006,9,Other,1134,1157,1140,
,08/03/2006,6.8,Other,1138,1149,1145,
,09/03/2006,6,Other,1140,1150,1145,
,10/03/2006,2.9,Other,1141,1146,1144,
,11/03/2006,6.2,Other,1146,1154,1150,
,13/03/2006,35.2,Other,1135,1146,1140,
,16/03/2006,5.7,Other,1125,1135,1130,
,17/03/2006,1.2,Other,1092,1115,1105,
,18/03/2006,0.9,Other,1102,1121,1120,
,20/03/2006,3.6,Other,1101,1113,1110,
,21/03/2006,8.8,Other,1103,1117,1110,
,22/03/2006,3.1,Other,1095,1108,1100,
,23/03/2006,2.7,Other,1109,1124,1120,
,24/03/2006,3.7,Other,1107,1122,1122,
,25/03/2006,5,Other,1100,1118,1110,
,27/03/2006,2,Other,1080,1099,1090,
,28/03/2006,14,Other,1113,1119,1116,
,29/03/2006,5.6,Other,1097,1116,1113,
,30/03/2006,4,Other,1111,1116,1113,
Jhalarapatan,13/03/2006,7,Other,1100,1130,1125,
,14/03/2006,1,Other,1080,1100,1100,
,16/03/2006,7.3,Other,1087,1110,1105,
,17/03/2006,4.6,Other,1094,1105,1100,
,18/03/2006,9.4,Other,1105,1110,1110,
,20/03/2006,10.7,Other,1100,1110,1105,
,21/03/2006,4.2,Other,1100,1113,1107,
,23/03/2006,5.6,Other,1085,1123,1115,
,24/03/2006,4.1,Other,1025,1109,1105,
,25/03/2006,6.6,Other,1092,1109,1108,
,27/03/2006,1.9,Other,1085,1103,1100,
,28/03/2006,15.5,Other,1061,1091,1086,
,29/03/2006,8.8,Other,1041,1109,1105,
,30/03/2006,5.6,Other,1060,1120,1109,
Kota,01/03/2006,262.5,Other,1060,1165,1150,
,02/03/2006,221,Other,1135,1178,1155,
,03/03/2006,350,Other,1090,1185,1160,
,04/03/2006,459.1,Other,1061,1170,1145,
,06/03/2006,237,Other,1117,1172,1140,
,07/03/2006,206.5,Other,1120,1162,1135,
,08/03/2006,166.5,Other,1061,1163,1150,
,09/03/2006,176.7,Other,1097,1154,1140,
,10/03/2006,65.6,Other,1100,1154,1140,
,11/03/2006,48,Other,1066,1158,1135,
,13/03/2006,173.2,Other,1070,1162,1140,
,14/03/2006,31.2,Other,1075,1150,1130,
,16/03/2006,51.4,Other,1050,1148,1125,
,17/03/2006,91,Other,1033,1137,1120,
,18/03/2006,114.5,Other,1071,1139,1120,
,20/03/2006,81,Other,1049,1142,1105,
,21/03/2006,103.3,Other,1035,1138,1100,
,22/03/2006,108,Other,1080,1150,1110,
,23/03/2006,147.3,Other,1080,1147,1105,
,24/03/2006,204.7,Other,1100,1146,1135,
,25/03/2006,157.5,Other,1071,1129,1105,
,27/03/2006,205.5,Other,1080,1139,1110,
,28/03/2006,180,Other,1090,1146,1125,
,30/03/2006,254,Other,1081,1136,1120,
,31/03/2006,131,Other,1087,1139,1115,
Nimbahera,01/03/2006,13.8,Other,1080,1122,1100,
,02/03/2006,3,Other,1090,1120,1100,
,03/03/2006,6.2,Other,1080,1120,1100,
,04/03/2006,8.5,Other,1080,1134,1100,
,06/03/2006,0.9,Other,1075,1134,1100,
,07/03/2006,10.5,Other,1080,1126,1100,
