Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Atru,27/05/2006,0.2,Black,1216,1216,1216,
,30/05/2006,23.9,Black,1205,1225,1215,
,31/05/2006,25.4,Black,1211,1225,1218,
Baran,01/05/2006,8,Yellow,1220,1245,1238,
,02/05/2006,10,Yellow,1200,1249,1240,
,03/05/2006,26,Yellow,1250,1274,1263,
,04/05/2006,13,Yellow,1245,1260,1258,
,05/05/2006,21,Yellow,1239,1272,1262,
,08/05/2006,7,Yellow,1223,1239,1235,
,09/05/2006,8,Yellow,1199,1250,1239,
,10/05/2006,12.5,Yellow,1200,1259,1240,
,11/05/2006,9,Yellow,1265,1276,1270,
,12/05/2006,5.5,Yellow,1278,1278,1278,
,13/05/2006,18,Yellow,1271,1286,1280,
,17/05/2006,13.5,Yellow,1250,1276,1258,
,18/05/2006,18,Yellow,1243,1293,1265,
,19/05/2006,22.5,Yellow,1264,1283,1270,
,20/05/2006,19,Yellow,1238,1266,1260,
,22/05/2006,18,Yellow,1190,1246,1230,
,23/05/2006,32.4,Yellow,1235,1259,1247,
,24/05/2006,27,Yellow,1199,1245,1225,
,25/05/2006,9,Yellow,1186,1243,1217,
,26/05/2006,20,Yellow,1212,1258,1240,
,30/05/2006,27,Yellow,1236,1248,1244,
,31/05/2006,15,Yellow,1219,1225,1225,
Bhawani Mandi,01/05/2006,15,Other,1220,1249,1246,
,02/05/2006,18.5,Other,1190,1255,1254,
,03/05/2006,26,Other,1230,1279,1277,
,04/05/2006,22,Other,1140,1276,1274,
,05/05/2006,21,Other,1239,1266,1263,
,06/05/2006,21,Other,1230,1267,1265,
,08/05/2006,24,Other,1160,1260,1259,
,09/05/2006,22.5,Other,1000,1256,1250,
,10/05/2006,13,Other,1188,1269,1268,
,11/05/2006,11,Other,1260,1276,1269,
,12/05/2006,15,Other,1260,1305,1304,
,13/05/2006,30.5,Other,1263,1306,1304,
,16/05/2006,20,Other,1111,1293,1289,
,17/05/2006,13.5,Other,1230,1290,1289,
,19/05/2006,21.5,Other,1188,1282,1279,
,20/05/2006,27,Other,1248,1275,1260,
,22/05/2006,22.5,Other,1136,1260,1258,
,23/05/2006,16,Other,1076,1255,1251,
,24/05/2006,28,Other,1000,1258,1257,
,25/05/2006,17,Other,1100,1266,1265,
,26/05/2006,42.5,Other,1239,1281,1273,
,29/05/2006,61.5,Other,1200,1259,1258,
,30/05/2006,50,Other,1180,1252,1250,
,31/05/2006,50,Other,1100,1249,1245,
Bhilwara,28/05/2006,5,Local,1150,1150,1150,
Bundi,01/05/2006,8,Other,1243,1260,1250,
,04/05/2006,6.6,Other,1260,1265,1262,
,05/05/2006,4,Other,1231,1251,1245,
,06/05/2006,0.3,Other,1150,1225,1210,
,08/05/2006,2.3,Other,1155,1286,1250,
