Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Baran,01/11/2006,1980,Yellow,1155,1190,1175,
,02/11/2006,1170,Yellow,1150,1232,1212,
,03/11/2006,1350,Yellow,1205,1248,1230,
,04/11/2006,1440,Yellow,1245,1299,1275,
,06/11/2006,1485,Yellow,1230,1300,1255,
,07/11/2006,1350,Yellow,1237,1266,1250,
,08/11/2006,1215,Yellow,1215,1268,1257,
,09/11/2006,855,Yellow,1275,1306,1291,
,10/11/2006,1080,Yellow,1260,1305,1283,
,11/11/2006,1440,Yellow,1260,1301,1290,
,13/11/2006,637.5,Yellow,1299,1325,1319,
,14/11/2006,720,Yellow,1290,1322,1307,
,15/11/2006,648,Yellow,1292,1321,1314,
,16/11/2006,540,Yellow,1285,1332,1315,
,17/11/2006,540,Yellow,1290,1317,1305,
,18/11/2006,675,Yellow,1285,1316,1302,
,21/11/2006,540,Yellow,1336,1380,1358,
,22/11/2006,495,Yellow,1330,1370,1350,
,23/11/2006,540,Yellow,1322,1366,1344,
,24/11/2006,450,Yellow,1310,1355,1332,
,25/11/2006,450,Yellow,1310,1351,1330,
,27/11/2006,405,Yellow,1340,1379,1359,
Bhawani Mandi,01/11/2006,700,Other,1111,1175,1150,
,02/11/2006,630,Other,1100,1209,1185,
,03/11/2006,700,Other,1125,1235,1200,
,04/11/2006,600,Other,1215,1286,1265,
,06/11/2006,572.5,Other,1150,1267,1235,
,07/11/2006,500,Other,1200,1255,1225,
,08/11/2006,520,Other,1200,1272,1220,
,09/11/2006,480,Other,1200,1317,1280,
,10/11/2006,600,Other,1200,1297,1265,
,11/11/2006,700,Other,1200,1314,1280,
,13/11/2006,320,Other,1210,1332,1290,
,14/11/2006,340,Other,1200,1325,1290,
,15/11/2006,350,Other,1215,1334,1295,
,16/11/2006,357.5,Other,1225,1331,1295,
,17/11/2006,330,Other,1200,1321,1290,
,18/11/2006,500,Other,1215,1330,1285,
,21/11/2006,270,Other,1225,1390,1350,
,22/11/2006,236.5,Other,1191,1369,1280,
,23/11/2006,255,Other,1190,1358,1280,
,24/11/2006,254.5,Other,1150,1359,1259,
,25/11/2006,280,Other,1225,1358,1295,
,27/11/2006,141.5,Other,1280,1370,1325,
,28/11/2006,165,Other,1260,1371,1330,
,29/11/2006,143.5,Other,1260,1350,1320,
,30/11/2006,148.8,Other,1160,1352,1300,
Bhilwara,04/11/2006,27,Local,1211,1241,1226,
,06/11/2006,48,Local,1200,1230,1215,
,07/11/2006,21,Local,1150,1225,1188,
,08/11/2006,16,Local,1191,1221,1206,
,09/11/2006,18,Local,1225,1280,1253,
,15/11/2006,21,Local,1251,1316,1284,
,16/11/2006,40,Local,1300,1311,1306,
,20/11/2006,29,Local,1275,1321,1298,
,21/11/2006,12,Local,1311,1331,1321,
Bundi,01/11/2006,1200,Other,1189,1210,1200,
,02/11/2006,1000,Other,1180,1230,1200,
,03/11/2006,1234,Other,1165,1230,1200,
,04/11/2006,1240.7,Other,1260,1296,1275,
,06/11/2006,1052.3,Other,1240,1286,1260,
