Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Baran,03/10/2006,9,Yellow,1105,1148,1125,
,04/10/2006,31.5,Yellow,1115,1169,1145,
,05/10/2006,18,Yellow,1118,1164,1150,
,06/10/2006,21,Yellow,1118,1162,1145,
,07/10/2006,22.5,Yellow,1111,1158,1134,
,09/10/2006,135,Yellow,1121,1167,1144,
,10/10/2006,99,Yellow,1111,1165,1139,
,11/10/2006,243,Yellow,1080,1152,1130,
,12/10/2006,405,Yellow,1095,1155,1126,
,13/10/2006,585,Yellow,1100,1158,1129,
,14/10/2006,1080,Yellow,1131,1182,1156,
,16/10/2006,2880,Yellow,1120,1155,1135,
,17/10/2006,2250,Yellow,1115,1145,1130,
,18/10/2006,2430,Yellow,1140,1170,1155,
,23/10/2006,540,Yellow,1140,1174,1161,
,25/10/2006,1800,Yellow,1150,1178,1160,
,26/10/2006,1620,Yellow,1155,1195,1170,
,27/10/2006,1665,Yellow,1162,1185,1172,
,28/10/2006,1440,Yellow,1172,1200,1190,
,30/10/2006,1800,Yellow,1175,1193,1185,
Bhawani Mandi,03/10/2006,24.9,Other,1080,1130,1115,
,04/10/2006,16.5,Other,1098,1131,1112,
,05/10/2006,12.9,Other,1108,1152,1120,
,06/10/2006,24.3,Other,999,1144,1100,
,07/10/2006,50,Other,945,1151,1120,
,09/10/2006,180,Other,941,1130,1125,
,10/10/2006,155,Other,970,1146,1135,
,11/10/2006,227.5,Other,982,1140,1120,
,12/10/2006,370,Other,1090,1135,1120,
,13/10/2006,450,Other,1005,1141,1080,
,14/10/2006,700,Other,1081,1146,1113,
,16/10/2006,1150,Other,1080,1123,1100,
,17/10/2006,1000,Other,1065,1117,1090,
,18/10/2006,950,Other,1090,1131,1120,
,25/10/2006,600,Other,896,1148,1130,
,26/10/2006,1200,Other,700,1155,1135,
,27/10/2006,800,Other,800,1155,1135,
,30/10/2006,900,Other,1100,1174,1160,
,31/10/2006,800,Other,1100,1176,1160,
Bhilwara,26/10/2006,35,Local,1125,1151,1138,
Bundi,03/10/2006,8, ,NR,NR,NR,
,04/10/2006,16.5,Other,1118,1156,1135,
,05/10/2006,26.3,Other,1091,1161,1140,
,06/10/2006,13.3,Other,1125,1159,1150,
,07/10/2006,23.3,Other,1127,1167,1140,
,09/10/2006,9,Other,1050,1161,1140,
,10/10/2006,12.1,Other,1075,1170,1160,
,11/10/2006,9.8,Other,1102,1148,1130,
,12/10/2006,18.6,Other,980,1149,1120,
,13/10/2006,43.9,Other,1036,1157,1130,
,14/10/2006,70,Other,1062,1193,1110,
,16/10/2006,400,Other,980,1162,1150,
,17/10/2006,700,Other,1100,1170,1140,
,18/10/2006,738.6,Other,1020,1173,1150,
,25/10/2006,1458.7,Other,1110,1187,1150,
,26/10/2006,1705.5,Other,1135,1195,1170,
,31/10/2006,1523.5,Other,1174,1214,1200,
Fatehnagar,30/10/2006,5.4,Other,1152,1168,1162,
,31/10/2006,5.3,Soyabeen,1168,1178,1178,
Itawa,03/10/2006,4.3,Other,1148,1165,1155,
,04/10/2006,6.2,Other,1141,1161,1153,
,06/10/2006,6.7,Other,1141,1168,1155,
,07/10/2006,3,Other,1164,1172,1170,
,09/10/2006,4.5,Other,1126,1153,1145,
,10/10/2006,1.3,Other,1106,1128,1120,
,11/10/2006,4,Other,1109,1138,1130,
,12/10/2006,8.3,Other,1000,1159,1130,
,13/10/2006,5.8,Other,1078,1157,1125,
,14/10/2006,8.3,Other,1135,1185,1172,
,16/10/2006,44,Other,1050,1154,1100,
,17/10/2006,33.5,Other,1070,1160,1130,
,18/10/2006,66,Other,1098,1175,1135,
,24/10/2006,62.5,Other,1127,1201,1160,
,25/10/2006,60,Other,1144,1185,1175,
,26/10/2006,110.6,Other,1138,1192,1190,
,27/10/2006,120.9,Other,1062,1200,1180,
,28/10/2006,158.4,Other,1138,1209,1180,
,30/10/2006,148.6,Other,1175,1211,1190,
,31/10/2006,130.5,Other,1118,1206,1195,
Jhalarapatan,03/10/2006,4.8,Other,1096,1130,1125,
,04/10/2006,10.7,Other,1090,1134,1125,
,05/10/2006,19.3,Other,1070,1134,1125,
,06/10/2006,17.5,Other,1090,1140,1137,
,09/10/2006,49.7,Other,1050,1145,1125,
,10/10/2006,32.4,Other,1055,1138,1120,
,11/10/2006,83.9,Other,1061,1140,1118,
,12/10/2006,119.7,Other,1041,1125,1115,
,13/10/2006,192.5,Other,1061,1140,1117,
,14/10/2006,266.6,Other,1050,1147,1130,
,16/10/2006,467.9,Other,1100,1123,1118,
,17/10/2006,501.3,Other,1081,1129,1118,
,18/10/2006,527.4,Other,1103,1130,1118,
,19/10/2006,225,Other,1111,1142,1120,
,25/10/2006,475.8,Other,1100,1148,1130,
,26/10/2006,546.7,Other,1101,1160,1135,
,27/10/2006,695.2,Other,1100,1150,1135,
,28/10/2006,628.4,Other,1125,1171,1160,
,30/10/2006,389.6,Other,1132,1171,1165,
,31/10/2006,272,Other,1130,1179,1170,
Kota,03/10/2006,32.1,Other,1139,1170,1150,
,04/10/2006,101.4,Other,1129,1164,1145,
