Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Baran,01/09/2006,4.5,Yellow,1195,1223,1209,
,02/09/2006,7.5,Yellow,1155,1208,1203,
,05/09/2006,5.5,Yellow,1185,1217,1206,
,07/09/2006,40.5,Yellow,1166,1214,1190,
,08/09/2006,81,Yellow,1145,1217,1185,
,09/09/2006,54,Yellow,1153,1214,1188,
,11/09/2006,72,Yellow,1150,1210,1180,
,12/09/2006,54,Yellow,1165,1200,1186,
,13/09/2006,27,Yellow,1173,1188,1185,
,14/09/2006,31.5,Yellow,1165,1189,1180,
,15/09/2006,16.2,Yellow,1175,1192,1182,
,16/09/2006,39,Yellow,1188,1207,1197,
,19/09/2006,54,Yellow,1170,1200,1185,
,20/09/2006,28.8,Yellow,1175,1195,1189,
,21/09/2006,8.1,Yellow,1145,1175,1170,
,22/09/2006,10.8,Yellow,1140,1171,1159,
,25/09/2006,24.3,Yellow,1130,1171,1155,
,27/09/2006,27,Yellow,1135,1169,1155,
,28/09/2006,15.3,Yellow,1140,1165,1152,
,29/09/2006,18,Yellow,1121,1150,1135,
,30/09/2006,13,Yellow,1115,1141,1121,
Bhawani Mandi,05/09/2006,30,Other,950,1200,1180,
,07/09/2006,11.5,Other,1180,1196,1187,
,08/09/2006,22.5,Other,1148,1199,1165,
,09/09/2006,32.2,Other,1160,1179,1170,
,11/09/2006,47.5,Other,1081,1188,1170,
,12/09/2006,44,Other,1100,1155,1141,
,13/09/2006,20,Other,1085,1147,1125,
,14/09/2006,26,Other,1001,1140,1138,
,15/09/2006,35.5,Other,951,1159,1135,
,16/09/2006,32,Other,1091,1159,1145,
,18/09/2006,24,Other,1011,1154,1145,
,19/09/2006,30,Other,951,1154,1145,
,20/09/2006,12.5,Other,1129,1148,1138,
,21/09/2006,6.2,Other,1040,1140,1125,
,23/09/2006,16,Other,950,1140,1120,
,25/09/2006,23,Other,951,1136,1125,
,26/09/2006,16.5,Other,1075,1130,1118,
,27/09/2006,30,Other,1100,1130,1125,
,28/09/2006,26,Other,1050,1134,1128,
,30/09/2006,19.3,Other,1080,1148,1115,
Bundi,02/09/2006,23.2,Other,1186,1203,1195,
,04/09/2006,11.5,Other,900,1209,1175,
,05/09/2006,17.5,Other,926,1203,1190,
,06/09/2006,5,Other,986,1200,1150,
,07/09/2006,2.9,Other,1150,1200,1195,
,08/09/2006,3,Other,1100,1197,1190,
,09/09/2006,10,Other,980,1195,1190,
,11/09/2006,19.2,Other,1096,1175,1150,
,13/09/2006,26.8,Other,855,1150,1120,
,14/09/2006,15.5,Other,951,1150,1120,
,15/09/2006,12.6,Other,1000,1166,1100,
,16/09/2006,17.2,Other,1050,1165,1100,
,18/09/2006,6.1,Other,1040,1165,1150,
,19/09/2006,19,Other,1071,1175,1150,
,20/09/2006,5.3,Other,1109,1162,1150,
,21/09/2006,3.8,Other,1128,1168,1150,
,22/09/2006,4.6,Other,1140,1190,1170,
,25/09/2006,15.1,Other,1136,1164,1150,
,26/09/2006,2.8,Other,899,1162,1050,
,27/09/2006,2.5,Other,1102,1160,1140,
,28/09/2006,8.9,Other,1139,1148,1142,
,29/09/2006,8.6,Other,951,1161,1130,
Itawa,02/09/2006,3.2,Other,1180,1200,1190,
,04/09/2006,3.2,Other,1201,1225,1211,
,05/09/2006,15.4,Other,1135,1233,1225,
,06/09/2006,6.7,Other,1209,1230,1225,
,07/09/2006,31.8,Other,1192,1220,1215,
,08/09/2006,28.9,Other,1182,1221,1215,
,09/09/2006,30.8,Other,1181,1218,1210,
,11/09/2006,27,Other,1160,1201,1190,
,12/09/2006,21,Other,1144,1196,1185,
,13/09/2006,16,Other,1159,1190,1170,
,14/09/2006,15.3,Other,1160,1197,1170,
,15/09/2006,13,Other,1151,1197,1185,
,16/09/2006,12.3,Other,1158,1219,1195,
,18/09/2006,17,Other,1170,1194,1180,
,19/09/2006,18,Other,1120,1196,1150,
,20/09/2006,18,Other,1159,1186,1170,
,21/09/2006,5.3,Other,1079,1183,1160,
,22/09/2006,22.5,Other,1130,1182,1151,
,23/09/2006,2.4,Other,1158,1177,1170,
,25/09/2006,14.2,Other,1129,1162,1145,
,26/09/2006,12.8,Other,1130,1176,1139,
,27/09/2006,2.5,Other,1141,1165,1157,
,28/09/2006,5.9,Other,1149,1166,1155,
,29/09/2006,6.2,Other,1140,1175,1150,
,30/09/2006,2,Other,1155,1165,1160,
Jhalarapatan,02/09/2006,0.4,Other,1165,1165,1165,
,04/09/2006,3.7,Other,1140,1175,1175,
,05/09/2006,7.1,Other,1166,1178,1174,
,07/09/2006,0.8,Other,1160,1170,1170,
,08/09/2006,1.9,Other,1160,1170,1165,
,09/09/2006,2.4,Other,1155,1165,1165,
,11/09/2006,13,Other,1121,1164,1155,
,13/09/2006,14.7,Other,1138,1157,1146,
,14/09/2006,12.2,Other,1141,1163,1161,
,15/09/2006,16.6,Other,1100,1167,1150,
,16/09/2006,2.9,Other,1155,1170,1168,
,18/09/2006,6,Other,1142,1160,1155,
,19/09/2006,0.5,Other,1150,1160,1160,
,20/09/2006,5,Other,1157,1169,1165,
,22/09/2006,6.9,Other,1153,1167,1164,
,23/09/2006,0.7,Other,1000,1150,1150,
,25/09/2006,2.2,Other,1050,1147,1146,
,26/09/2006,15.7,Other,1130,1141,1130,
,27/09/2006,3.3,Other,1099,1152,1142,
,28/09/2006,1,Other,1100,1121,1121,
,29/09/2006,6.6,Other,1143,1156,1150,
,30/09/2006,3.3,Other,1116,1140,1119,
Kota,01/09/2006,24.1,Other,1205,1225,1215,
,02/09/2006,43.2,Other,1167,1229,1205,
,04/09/2006,35.3,Other,1180,1247,1215,
,05/09/2006,95.3,Other,1205,1253,1220,
,07/09/2006,80.5,Other,1200,1230,1215,
,08/09/2006,129.5,Other,1210,1230,1215,
,09/09/2006,189.5,Other,1181,1230,1210,
,11/09/2006,285,Other,1181,1211,1205,
,12/09/2006,188,Other,1161,1200,1190,
,13/09/2006,139.6,Other,1127,1195,1175,
,14/09/2006,116.3,Other,1154,1198,1170,
,15/09/2006,114.7,Other,1166,1215,1190,
,16/09/2006,84.9,Other,1175,1227,1205,
,18/09/2006,169.4,Other,1120,1197,1170,
,19/09/2006,84.2,Other,1140,1200,1190,
,20/09/2006,144.8,Other,1141,1195,1165,
,21/09/2006,131.4,Other,1140,1194,1170,
,22/09/2006,107.1,Other,1125,1186,1170,
,25/09/2006,129.7,Other,1122,1179,1160,
,26/09/2006,87.9,Other,1126,1167,1155,
,27/09/2006,61.4,Other,1130,1173,1155,
,28/09/2006,67,Other,1125,1167,1155,
,29/09/2006,89.1,Other,1125,1174,1155,
,30/09/2006,105.3,Other,975,1178,1150,
