DATE,ARRIVAL
2006-01-02,94.2
2006-01-03,107.9
2006-01-04,79.2
2006-01-05,126.1
2006-01-06,85.7
2006-01-07,71.3
2006-01-08,
2006-01-09,81.9
2006-01-10,61.8
2006-01-11,
2006-01-12,52.1
2006-01-13,69.6
2006-01-14,1.6
2006-01-15,
2006-01-16,45.5
2006-01-17,63.1
2006-01-18,56.6
2006-01-19,60.8
2006-01-20,40.6
2006-01-21,59.9
2006-01-22,
2006-01-23,49.3
2006-01-24,47.6
2006-01-25,52.4
2006-01-26,
2006-01-27,57.0
2006-01-28,45.8
2006-01-29,
2006-01-30,60.6
2006-01-31,20.3
2006-02-01,29.4
2006-02-02,42.53
2006-02-03,33.4
2006-02-04,55.8
2006-02-05,
2006-02-06,47.7
2006-02-07,43.2
2006-02-08,34.8
2006-02-09,
2006-02-10,
2006-02-11,47.3
2006-02-12,
2006-02-13,8.9
2006-02-14,68.9
2006-02-15,59.2
2006-02-16,25.6
2006-02-17,52.5
2006-02-18,44.9
2006-02-19,
2006-02-20,30.6
2006-02-21,21.9
2006-02-22,33.2
2006-02-23,16.2
2006-02-24,34.2
2006-02-25,38.1
2006-02-26,
2006-02-27,28.6
2006-02-28,11.1
2006-03-01,9.9
2006-03-02,22.1
2006-03-03,14.7
2006-03-04,38.0
2006-03-05,
2006-03-06,18.8
2006-03-07,25.5
2006-03-08,20.3
2006-03-09,27.7
2006-03-10,4.6
2006-03-11,11.1
2006-03-12,
2006-03-13,30.6
2006-03-14,10.3
2006-03-15,
2006-03-16,3.6
2006-03-17,3.7
2006-03-18,7.6
2006-03-19,
2006-03-20,
2006-03-21,35.6
2006-03-22,28.9
2006-03-23,
2006-03-24,33.3
2006-03-25,3.1
2006-03-26,
2006-03-27,0.1
2006-03-28,42.5
2006-05-01,16.9
2006-05-02,5.8
2006-05-03,9.5
2006-05-04,9.9
2006-05-05,10.6
2006-05-06,4.2
2006-05-07,
2006-05-08,5.5
2006-05-09,14.0
2006-05-10,9.9
2006-05-11,7.3
2006-05-12,3.6
2006-05-13,
2006-05-14,
2006-05-15,5.4
2006-05-16,8.4
2006-05-17,5.9
2006-05-18,22.9
2006-05-19,12.9
2006-05-20,14.9
2006-05-21,
2006-05-22,9.9
2006-05-23,13.1
2006-05-24,27.5
2006-05-25,9.3
2006-05-26,13.8
2006-05-27,15.9
2006-05-28,
2006-05-29,24.3
2006-05-30,25.4
2006-05-31,16.1
