DATE,ARRIVAL
2006-01-02,209.0
2006-01-03,223.0
2006-01-04,189.7
2006-01-05,152.5
2006-01-06,161.7
2006-01-07,210.4
2006-01-08,
2006-01-09,159.5
2006-01-10,129.4
2006-01-11,
2006-01-12,113.2
2006-01-13,133.3
2006-01-14,
2006-01-15,
2006-01-16,203.8
2006-01-17,128.2
2006-01-18,194.0
2006-01-19,170.1
2006-01-20,125.6
2006-01-21,127.6
2006-01-22,
2006-01-23,121.8
2006-01-24,139.0
2006-01-25,177.9
2006-01-26,
2006-01-27,118.5
2006-01-28,133.2
2006-01-29,
2006-01-30,185.4
2006-02-01,137.3
2006-02-02,90.6
2006-02-03,76.5
2006-03-01,57.2
2006-03-02,47.1
2006-03-03,59.7
2006-03-04,67.4
2006-03-05,
2006-03-06,74.7
2006-03-07,54.5
2006-03-08,87.1
2006-05-01,20.2
2006-05-02,27.0
2006-05-03,
2006-05-04,
2006-05-05,
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,
2006-05-31,
