DATE,ARRIVAL
2006-01-02,162.0
2006-01-03,175.0
2006-01-04,186.0
2006-01-05,122.0
2006-01-06,179.0
2006-01-07,159.0
2006-01-08,
2006-01-09,196.0
2006-01-10,228.0
2006-01-11,
2006-01-12,217.0
2006-01-13,97.0
2006-01-14,
2006-01-15,
2006-01-16,127.0
2006-01-17,164.0
2006-01-18,147.0
2006-01-19,150.0
2006-01-20,153.0
2006-01-21,146.0
2006-01-22,
2006-01-23,190.0
2006-01-24,210.0
2006-01-25,138.0
2006-01-26,
2006-01-27,159.0
2006-01-28,114.0
2006-01-29,
2006-01-30,173.0
2006-01-31,186.0
2006-02-01,99.0
2006-02-02,180.0
2006-02-03,
2006-02-04,189.0
2006-02-05,
2006-02-06,167.0
2006-02-07,161.0
2006-02-08,134.0
2006-02-09,
2006-02-10,210.0
2006-02-11,222.0
2006-02-12,
2006-02-13,49.0
2006-02-14,159.0
2006-02-15,96.0
2006-02-16,
2006-02-17,117.0
2006-02-18,61.0
2006-02-19,
2006-02-20,77.0
2006-02-21,60.0
2006-02-22,80.0
2006-02-23,55.0
2006-02-24,52.0
2006-02-25,10.0
2006-02-26,
2006-02-27,38.0
2006-02-28,20.0
2006-03-01,28.0
2006-03-02,19.0
2006-03-03,23.0
2006-03-04,58.0
2006-03-05,
2006-03-06,30.0
2006-03-07,38.0
2006-03-08,23.0
2006-03-09,6.0
2006-03-10,7.0
2006-03-11,22.0
2006-03-12,
2006-03-13,31.0
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,6.0
2006-03-18,8.0
2006-03-19,
2006-03-20,
2006-03-21,30.0
2006-03-22,6.0
2006-03-23,16.0
2006-03-24,18.0
2006-03-25,38.0
2006-03-26,
2006-03-27,35.0
2006-03-28,41.0
2006-03-29,14.0
2006-05-01,1.0
2006-05-02,5.0
2006-05-03,14.0
2006-05-04,1.0
2006-05-05,1.0
2006-05-06,12.0
2006-05-07,
2006-05-08,2.0
2006-05-09,13.0
2006-05-10,1.0
2006-05-11,1.0
2006-05-12,1.0
2006-05-13,
2006-05-14,
2006-05-15,3.0
2006-05-16,1.0
2006-05-17,1.0
2006-05-18,1.0
2006-05-19,16.0
2006-05-20,1.0
2006-05-21,
2006-05-22,1.0
2006-05-23,73.0
2006-05-24,16.0
2006-05-25,9.0
2006-05-26,27.0
2006-05-27,21.0
2006-05-28,
2006-05-29,1.0
2006-05-30,29.0
2006-05-31,50.0
