DATE,ARRIVAL
2006-01-07,5500.0
2006-01-08,
2006-01-09,3200.0
2006-01-10,3200.0
2006-01-11,
2006-01-12,3000.0
2006-01-13,
2006-01-14,
2006-01-15,
2006-01-16,3200.0
2006-01-17,
2006-01-18,3250.0
2006-01-19,3540.0
2006-01-20,
2006-01-21,4000.0
2006-01-22,
2006-01-23,3250.0
2006-03-11,1800.0
2006-03-12,
2006-03-13,1800.0
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,
2006-05-10,1.0
2006-05-11,1.0
2006-05-12,1.0
2006-05-13,
2006-05-14,
2006-05-15,1.0
2006-05-16,1.0
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,1.0
2006-05-24,1.0
2006-05-25,
2006-05-26,1.0
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,
2006-05-31,1.0
