DATE,ARRIVAL
2006-01-02,128.0
2006-01-03,140.0
2006-01-04,163.0
2006-01-05,148.0
2006-01-06,133.0
2006-01-07,113.0
2006-01-08,
2006-01-09,126.0
2006-01-10,140.0
2006-01-11,
2006-01-12,122.0
2006-01-13,79.0
2006-01-14,
2006-01-15,
2006-01-16,99.0
2006-01-17,150.0
2006-01-18,99.0
2006-01-19,99.0
2006-01-20,43.0
2006-01-21,67.0
2006-01-22,
2006-01-23,106.0
2006-01-24,122.0
2006-01-25,124.0
2006-01-26,
2006-01-27,95.0
2006-01-28,95.0
2006-01-29,
2006-01-30,94.0
2006-01-31,139.0
2006-02-01,116.0
2006-02-02,129.0
2006-02-03,55.0
2006-02-04,71.0
2006-02-05,
2006-02-06,90.0
2006-02-07,89.0
2006-02-08,124.0
2006-02-09,
2006-02-10,115.0
2006-02-11,113.0
2006-02-12,
2006-02-13,
2006-02-14,96.0
2006-02-15,80.0
2006-02-16,
2006-02-17,80.0
2006-02-18,69.0
2006-02-19,
2006-02-20,76.0
2006-02-21,52.0
2006-02-22,56.0
2006-02-23,56.0
2006-02-24,47.0
2006-02-25,84.0
2006-02-26,
2006-02-27,41.0
2006-02-28,59.0
2006-03-01,49.0
2006-03-02,56.0
2006-03-03,59.0
2006-03-04,72.0
2006-03-05,
2006-03-06,76.0
2006-03-07,41.0
2006-03-08,39.0
2006-03-09,2.0
2006-03-10,53.0
2006-03-11,25.0
2006-03-12,
2006-03-13,65.0
2006-03-14,10.0
2006-03-15,
2006-03-16,3.0
2006-03-17,8.0
2006-03-18,19.0
2006-03-19,
2006-03-20,
2006-03-21,30.0
2006-03-22,51.0
2006-03-23,34.0
2006-03-24,25.0
2006-03-25,22.0
2006-03-26,
2006-03-27,22.0
2006-03-28,18.0
2006-03-29,13.0
2006-03-30,
2006-03-31,14.0
2006-05-01,
2006-05-02,11.0
2006-05-03,21.0
2006-05-04,12.0
2006-05-05,3.0
2006-05-06,6.0
2006-05-07,
2006-05-08,23.0
2006-05-09,19.0
2006-05-10,11.0
2006-05-11,17.0
2006-05-12,33.0
2006-05-13,
2006-05-14,
2006-05-15,13.0
2006-05-16,19.0
2006-05-17,37.0
2006-05-18,15.0
2006-05-19,24.0
2006-05-20,19.0
2006-05-21,
2006-05-22,34.0
2006-05-23,32.0
2006-05-24,40.0
2006-05-25,27.0
2006-05-26,42.0
2006-05-27,35.0
2006-05-28,
2006-05-29,75.0
2006-05-30,62.0
2006-05-31,70.0
