DATE,ARRIVAL
2006-01-03,386.8
2006-01-04,
2006-01-05,
2006-01-06,
2006-01-07,
2006-01-08,
2006-01-09,
2006-01-10,482.8
2006-01-11,
2006-01-12,522.0
2006-01-13,
2006-01-14,
2006-01-15,
2006-01-16,480.2
2006-01-17,
2006-01-18,313.5
2006-01-19,230.0
2006-01-20,315.9
2006-01-21,
2006-01-22,
2006-01-23,
2006-01-24,
2006-01-25,241.7
2006-01-26,
2006-01-27,243.8
2006-01-28,268.8
2006-01-29,
2006-01-30,269.4
2006-01-31,254.2
2006-02-01,212.4
2006-02-02,179.4
2006-02-03,
2006-02-04,192.9
2006-02-05,
2006-02-06,206.5
2006-02-07,
2006-02-08,
2006-02-09,
2006-02-10,142.5
2006-02-11,184.5
2006-02-12,
2006-02-13,
2006-02-14,272.4
2006-02-15,211.7
2006-02-16,
2006-02-17,264.6
2006-02-18,270.7
2006-02-19,
2006-02-20,255.4
2006-02-21,181.4
2006-02-22,126.8
2006-02-23,106.6
2006-02-24,
2006-02-25,
2006-02-26,
2006-02-27,64.0
2006-02-28,159.9
2006-03-01,105.8
2006-03-02,
2006-03-03,140.3
2006-03-04,229.5
2006-03-05,
2006-03-06,247.2
2006-03-07,171.5
2006-03-08,163.1
2006-03-09,
2006-03-10,
2006-03-11,
2006-03-12,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,37.3
2006-03-18,62.0
2006-03-19,
2006-03-20,
2006-03-21,77.6
2006-03-22,54.0
2006-03-23,74.1
2006-03-24,173.6
2006-03-25,179.2
2006-03-26,
2006-03-27,157.4
2006-03-28,170.6
2006-03-29,120.9
2006-05-01,164.6
2006-05-02,221.9
2006-05-03,1.0
2006-05-04,
2006-05-05,1.0
2006-05-06,1.0
2006-05-07,
2006-05-08,1.0
2006-05-09,1.0
2006-05-10,1.0
2006-05-11,1.0
2006-05-12,1.0
2006-05-13,
2006-05-14,
2006-05-15,1.0
2006-05-16,1.0
2006-05-17,1.0
2006-05-18,1.0
2006-05-19,199.3
2006-05-20,1.0
2006-05-21,
2006-05-22,
2006-05-23,1.0
2006-05-24,1.0
2006-05-25,1.0
2006-05-26,249.2
2006-05-27,
2006-05-28,
2006-05-29,1.0
2006-05-30,1.0
2006-05-31,117.7
