DATE,ARRIVAL
2006-01-01,352.0
2006-01-02,
2006-01-03,380.0
2006-01-04,350.0
2006-01-05,422.5
2006-01-06,400.0
2006-01-07,202.5
2006-01-08,272.5
2006-01-09,
2006-01-10,270.0
2006-01-11,170.0
2006-01-12,200.0
2006-01-13,153.8
2006-01-14,
2006-01-15,121.7
2006-01-16,
2006-01-17,148.3
2006-01-18,196.7
2006-01-19,154.0
2006-01-20,154.0
2006-01-21,187.6
2006-01-22,201.4
2006-01-23,
2006-01-24,184.1
2006-01-25,174.1
2006-01-26,
2006-01-27,200.0
2006-01-28,225.4
2006-01-29,
2006-01-30,
2006-01-31,161.1
2006-02-01,144.6
2006-02-02,
2006-02-03,72.5
2006-02-04,131.1
2006-02-05,113.4
2006-02-06,
2006-02-07,141.1
2006-02-08,110.4
2006-02-09,92.0
2006-02-10,
2006-02-11,105.3
2006-02-12,102.0
2006-02-13,
2006-02-14,126.0
2006-02-15,109.0
2006-02-16,112.5
2006-02-17,85.0
2006-02-18,79.0
2006-02-19,80.0
2006-02-20,
2006-02-21,91.0
2006-02-22,80.0
2006-02-23,75.0
2006-02-24,72.5
2006-03-01,67.5
2006-03-02,65.0
2006-03-03,
2006-03-04,40.0
2006-03-05,60.0
2006-03-06,
2006-03-07,67.0
2006-03-08,51.8
2006-03-09,
2006-03-10,6.0
2006-03-11,15.0
2006-03-12,35.0
2006-03-13,
2006-03-14,12.3
2006-03-15,
2006-03-16,1.0
2006-03-17,12.3
2006-03-18,26.5
2006-03-19,15.0
2006-03-20,
2006-03-21,40.0
2006-03-22,26.0
2006-03-23,21.0
2006-03-24,30.0
2006-03-25,35.0
2006-03-26,37.0
2006-03-27,
2006-03-28,20.0
2006-05-01,
2006-05-02,80.0
2006-05-03,50.0
2006-05-04,32.0
2006-05-05,
2006-05-06,20.0
2006-05-07,30.0
2006-05-08,
2006-05-09,32.0
2006-05-10,45.0
2006-05-11,30.0
2006-05-12,28.0
2006-05-13,32.5
2006-05-14,40.0
2006-05-15,
2006-05-16,38.0
2006-05-17,38.5
2006-05-18,25.0
2006-05-19,39.0
2006-05-20,50.0
2006-05-21,58.0
2006-05-22,
2006-05-23,30.0
2006-05-24,30.0
2006-05-25,33.0
2006-05-26,30.0
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,64.0
2006-05-31,45.0
