DATE,ARRIVAL
2006-01-02,31.0
2006-01-03,8.0
2006-01-04,12.5
2006-01-05,10.0
2006-01-06,16.0
2006-01-07,
2006-01-08,
2006-01-09,9.0
2006-01-10,
2006-01-11,
2006-01-12,9.0
2006-01-13,24.0
2006-01-14,
2006-01-15,
2006-01-16,29.0
2006-01-17,16.0
2006-01-18,12.5
2006-01-19,5.0
2006-01-20,
2006-01-21,
2006-01-22,
2006-01-23,2.5
2006-01-24,15.5
2006-01-25,10.5
2006-01-26,
2006-01-27,20.0
2006-01-28,
2006-01-29,
2006-01-30,10.0
2006-01-31,6.5
2006-02-01,5.0
2006-02-02,13.0
2006-02-03,9.5
2006-02-04,
2006-02-05,
2006-02-06,33.5
2006-02-07,5.0
2006-02-08,9.0
2006-02-09,
2006-02-10,6.0
2006-02-11,
2006-02-12,
2006-02-13,
2006-02-14,10.0
2006-02-15,19.5
2006-02-16,2.6
2006-02-17,
2006-02-18,
2006-02-19,
2006-02-20,12.5
2006-02-21,10.5
2006-02-22,8.0
2006-02-23,3.0
2006-02-24,4.0
2006-02-25,
2006-02-26,
2006-02-27,200.0
2006-02-28,11.5
2006-03-01,15.0
2006-03-02,5.5
2006-03-03,
2006-03-04,
2006-03-05,
2006-03-06,
2006-03-07,
2006-03-08,
2006-03-09,
2006-03-10,
2006-03-11,
2006-03-12,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-18,
2006-03-19,
2006-03-20,10.5
2006-03-21,2.1
2006-03-22,7.8
2006-03-23,7.5
2006-03-24,1.0
2006-03-25,
2006-03-26,
2006-03-27,5.0
2006-03-28,4.1
2006-03-29,2.8
2006-03-30,
2006-03-31,1.5
2006-05-01,3.5
2006-05-02,3.2
2006-05-03,1.0
2006-05-04,1.6
2006-05-05,5.5
2006-05-06,
2006-05-07,
2006-05-08,1.0
2006-05-09,1.0
2006-05-10,0.4
2006-05-11,
2006-05-12,5.5
2006-05-13,
2006-05-14,
2006-05-15,1.0
2006-05-16,1.0
2006-05-17,2.2
2006-05-18,
2006-05-19,14.0
2006-05-20,
2006-05-21,
2006-05-22,0.2
2006-05-23,11.0
2006-05-24,5.5
2006-05-25,11.0
2006-05-26,3.0
2006-05-27,
2006-05-28,
2006-05-29,1.8
2006-05-30,1.5
2006-05-31,1.0
