DATE,ARRIVAL
2006-01-20,50.0
2006-01-21,
2006-01-22,
2006-01-23,
2006-01-24,187.0
2006-01-25,155.0
2006-01-26,
2006-01-27,87.0
2006-01-28,
2006-01-29,178.0
2006-01-30,
2006-01-31,323.0
2006-02-01,64.0
2006-02-02,143.0
2006-02-03,232.0
2006-02-04,
2006-02-05,133.0
2006-02-06,342.0
2006-02-07,
2006-02-08,561.0
2006-02-09,
2006-02-10,96.0
2006-02-11,
2006-02-12,624.0
2006-02-13,
2006-02-14,470.0
2006-02-15,105.0
2006-02-16,244.0
2006-02-17,211.0
2006-02-18,
2006-02-19,475.0
2006-02-20,121.0
2006-02-21,108.0
2006-02-22,36.0
2006-02-23,
2006-02-24,261.0
2006-02-25,
2006-02-26,
2006-02-27,773.0
2006-02-28,719.0
2006-03-01,82.0
2006-03-02,267.0
2006-03-03,149.0
2006-03-04,
2006-03-05,462.0
2006-03-06,161.0
2006-05-01,
2006-05-02,1.0
2006-05-03,98.0
2006-05-04,3.0
2006-05-05,207.0
2006-05-06,
2006-05-07,109.0
2006-05-08,5.0
2006-05-09,
2006-05-10,4.0
2006-05-11,
2006-05-12,20.0
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,
2006-05-17,30.0
2006-05-18,5.0
2006-05-19,15.0
2006-05-20,
2006-05-21,45.0
2006-05-22,
2006-05-23,7.0
2006-05-24,16.0
2006-05-25,24.0
2006-05-26,41.0
2006-05-27,
2006-05-28,86.0
2006-05-29,
2006-05-30,
2006-05-31,13.0
