DATE,ARRIVAL
2006-01-02,83.8
2006-01-03,126.4
2006-01-04,72.2
2006-01-05,
2006-01-06,188.9
2006-01-07,88.9
2006-01-08,
2006-01-09,121.7
2006-01-10,92.9
2006-01-11,
2006-01-12,
2006-01-13,71.1
2006-01-14,2.9
2006-01-15,
2006-01-16,58.0
2006-01-17,90.0
2006-01-18,29.7
2006-01-19,69.3
2006-01-20,57.7
2006-01-21,43.3
2006-01-22,
2006-01-23,63.6
2006-01-24,32.8
2006-01-25,34.8
2006-01-26,
2006-01-27,82.3
2006-01-28,87.7
2006-01-29,
2006-01-30,46.9
2006-01-31,36.9
2006-02-01,65.2
2006-02-02,47.9
2006-02-03,49.9
2006-02-04,33.4
2006-02-05,
2006-02-06,54.4
2006-02-07,73.9
2006-02-08,25.6
2006-02-09,
2006-02-10,69.2
2006-02-11,94.9
2006-02-12,
2006-02-13,13.6
2006-02-14,107.0
2006-02-15,93.5
2006-02-16,57.4
2006-02-17,79.1
2006-02-18,
2006-02-19,
2006-02-20,154.4
2006-02-21,81.3
2006-02-22,44.2
2006-02-23,74.7
2006-02-24,24.8
2006-02-25,37.3
2006-02-26,
2006-02-27,47.5
2006-02-28,95.1
2006-03-01,31.9
2006-03-02,85.3
2006-03-03,38.1
2006-03-04,99.7
2006-03-05,
2006-03-06,41.1
2006-03-07,90.5
2006-03-08,43.2
2006-03-09,44.4
2006-03-10,27.2
2006-03-11,26.8
2006-03-12,
2006-03-13,53.0
2006-03-14,17.2
2006-03-15,
2006-03-16,17.1
2006-03-17,30.0
2006-03-18,37.6
2006-03-19,
2006-03-20,49.3
2006-03-21,41.8
2006-03-22,46.5
2006-03-23,38.6
2006-03-24,65.2
2006-03-25,67.5
2006-03-26,
2006-03-27,46.3
2006-03-28,42.9
2006-03-29,35.0
2006-03-30,9.2
2006-05-01,27.0
2006-05-02,29.4
2006-05-03,63.2
2006-05-04,1.0
2006-05-05,87.5
2006-05-06,43.9
2006-05-07,
2006-05-08,49.6
2006-05-09,37.0
2006-05-10,32.1
2006-05-11,30.1
2006-05-12,25.6
2006-05-13,
2006-05-14,
2006-05-15,55.2
2006-05-16,59.7
2006-05-17,1.0
2006-05-18,26.6
2006-05-19,35.9
2006-05-20,1.0
2006-05-21,
2006-05-22,66.3
2006-05-23,29.3
2006-05-24,1.0
2006-05-25,1.0
2006-05-26,60.2
2006-05-27,40.8
2006-05-28,
2006-05-29,122.6
2006-05-30,1.0
2006-05-31,31.0
