DATE,ARRIVAL
2006-01-02,119.0
2006-01-03,45.0
2006-01-04,83.0
2006-01-05,96.0
2006-01-06,
2006-01-07,71.0
2006-01-08,
2006-01-09,772.0
2006-01-10,36.0
2006-01-11,2.0
2006-01-12,38.0
2006-01-13,17.0
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,12.0
2006-01-18,44.0
2006-01-19,5.0
2006-01-20,40.0
2006-01-21,43.0
2006-01-22,
2006-01-23,12.0
2006-01-24,30.0
2006-01-25,52.0
2006-01-26,
2006-01-27,40.0
2006-01-28,71.0
2006-01-29,
2006-01-30,60.0
2006-01-31,71.0
2006-02-01,87.0
2006-02-02,99.0
2006-02-03,39.0
2006-05-01,
2006-05-02,2.0
2006-05-03,2.0
2006-05-04,2.0
2006-05-05,
2006-05-06,6.0
2006-05-07,
2006-05-08,2.0
2006-05-09,2.0
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,5.0
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,11.0
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,
2006-05-31,
