DATE,ARRIVAL
2006-01-02,274.7
2006-01-03,384.5
2006-01-04,467.2
2006-01-05,343.8
2006-01-06,
2006-01-07,535.5
2006-01-08,
2006-01-09,391.1
2006-01-10,394.4
2006-01-11,
2006-01-12,440.9
2006-01-13,414.8
2006-01-14,
2006-01-15,
2006-01-16,364.3
2006-01-17,377.2
2006-01-18,387.1
2006-01-19,428.6
2006-01-20,372.8
2006-01-21,331.6
2006-01-22,
2006-01-23,308.0
2006-01-24,364.1
2006-01-25,495.6
2006-01-26,
2006-01-27,460.5
2006-01-28,407.1
2006-01-29,
2006-01-30,
2006-01-31,265.8
2006-02-01,163.1
2006-02-02,35.3
2006-02-03,
2006-02-04,3.5
2006-02-05,
2006-02-06,147.0
2006-02-07,232.7
2006-02-08,311.2
2006-02-09,
2006-02-10,96.8
2006-02-11,234.0
2006-02-12,
2006-02-13,
2006-02-14,221.6
2006-02-15,236.5
2006-02-16,221.4
2006-02-17,206.6
2006-02-18,187.4
2006-02-19,
2006-02-20,171.8
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,1.0
2006-05-05,1.0
2006-05-06,1.0
2006-05-07,
2006-05-08,1.0
2006-05-09,1.0
2006-05-10,1.0
2006-05-11,1.0
2006-05-12,1.0
2006-05-13,
2006-05-14,
2006-05-15,1.0
2006-05-16,1.0
2006-05-17,1.0
2006-05-18,1.0
2006-05-19,103.3
2006-05-20,1.0
2006-05-21,
2006-05-22,171.4
2006-05-23,1.0
2006-05-24,135.6
2006-05-25,1.0
2006-05-26,162.4
2006-05-27,107.4
2006-05-28,
2006-05-29,
2006-05-30,1.0
2006-05-31,1.0
