DATE,ARRIVAL
2006-03-28,8.4
2006-03-29,
2006-03-30,0.2
2006-03-31,7.5
2006-05-01,2.5
2006-05-02,0.2
2006-05-03,
2006-05-04,0.7
2006-05-05,41.2
2006-05-06,3.4
2006-05-07,
2006-05-08,0.2
2006-05-09,4.2
2006-05-10,4.4
2006-05-11,4.1
2006-05-12,3.0
2006-05-13,
2006-05-14,
2006-05-15,2.5
2006-05-16,4.8
2006-05-17,3.5
2006-05-18,
2006-05-19,3.8
2006-05-20,6.7
2006-05-21,
2006-05-22,12.4
2006-05-23,5.4
2006-05-24,6.5
2006-05-25,6.8
2006-05-26,3.9
2006-05-27,
2006-05-28,
2006-05-29,0.6
2006-05-30,3.8
2006-05-31,1.0
