DATE,ARRIVAL
2006-01-05,99.8
2006-01-06,137.8
2006-01-07,112.5
2006-01-08,
2006-01-09,148.8
2006-01-10,182.5
2006-01-11,
2006-01-12,124.2
2006-01-13,
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,
2006-01-18,
2006-01-19,
2006-01-20,
2006-01-21,115.1
2006-01-22,
2006-01-23,147.0
2006-01-24,136.1
2006-01-25,146.6
2006-01-26,
2006-01-27,113.5
2006-02-06,149.6
2006-02-07,
2006-02-08,109.6
2006-02-09,
2006-02-10,118.3
2006-02-11,162.9
2006-02-12,
2006-02-13,
2006-02-14,119.7
2006-02-15,72.2
2006-02-16,71.9
2006-02-17,63.6
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,1.0
2006-05-17,1.0
2006-05-18,
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,
2006-05-31,1.0
