DATE,ARRIVAL
2006-01-02,76.5
2006-01-03,43.5
2006-01-04,
2006-01-05,33.3
2006-01-06,14.0
2006-01-07,
2006-01-08,
2006-01-09,107.9
2006-01-10,126.3
2006-01-11,
2006-01-12,54.2
2006-01-13,38.0
2006-01-14,
2006-01-15,
2006-01-16,7.5
2006-01-17,53.5
2006-01-18,43.5
2006-01-19,
2006-01-20,73.8
2006-01-21,
2006-01-22,
2006-01-23,33.1
2006-01-24,
2006-01-25,112.8
2006-01-26,
2006-01-27,59.0
2006-01-28,
2006-01-29,
2006-01-30,122.2
2006-01-31,52.1
2006-02-01,131.6
2006-02-02,54.8
2006-02-03,16.0
2006-02-04,
2006-02-05,
2006-02-06,96.5
2006-02-07,69.0
2006-02-08,30.5
2006-02-09,46.0
2006-02-10,201.6
2006-02-11,59.0
2006-02-12,
2006-02-13,
2006-02-14,23.5
2006-02-15,143.4
2006-02-16,112.8
2006-02-17,47.0
2006-02-18,20.0
2006-02-19,
2006-02-20,22.0
2006-02-21,92.6
2006-02-22,94.8
2006-02-23,20.5
2006-02-24,
2006-02-25,
2006-02-26,
2006-02-27,54.8
2006-02-28,31.3
2006-03-01,110.0
2006-03-02,69.9
2006-03-03,
2006-03-04,
2006-03-05,
2006-03-06,61.9
2006-03-07,137.5
2006-03-08,69.6
2006-03-09,35.5
2006-03-10,48.5
2006-03-11,26.5
2006-03-12,
2006-03-13,38.2
2006-03-14,32.0
2006-03-15,
2006-03-16,
2006-03-17,10.1
2006-03-18,49.4
2006-03-19,
2006-03-20,
2006-03-21,
2006-03-22,33.6
2006-03-23,9.0
2006-03-24,76.5
2006-03-25,30.0
2006-03-26,
2006-03-27,45.3
2006-03-28,59.8
2006-03-29,82.4
2006-03-30,36.2
2006-05-01,28.5
2006-05-02,15.0
2006-05-03,10.0
2006-05-04,13.0
2006-05-05,11.2
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,5.0
2006-05-10,
2006-05-11,11.6
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,25.0
2006-05-19,36.6
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,23.0
2006-05-24,20.0
2006-05-25,77.5
2006-05-26,10.3
2006-05-27,
2006-05-28,
2006-05-29,16.5
2006-05-30,15.8
2006-05-31,15.8
