DATE,ARRIVAL
2006-03-28,517.0
2006-05-01,51.0
2006-05-02,62.0
2006-05-03,
2006-05-04,269.0
2006-05-05,134.0
2006-05-06,238.0
2006-05-07,
2006-05-08,216.0
2006-05-09,237.0
2006-05-10,139.0
2006-05-11,180.0
2006-05-12,226.0
2006-05-13,104.0
2006-05-14,
2006-05-15,547.0
2006-05-16,381.0
2006-05-17,157.0
2006-05-18,355.0
2006-05-19,337.0
2006-05-20,429.0
2006-05-21,
2006-05-22,387.0
2006-05-23,505.0
2006-05-24,540.0
2006-05-25,531.0
2006-05-26,382.0
2006-05-27,298.0
2006-05-28,
2006-05-29,663.0
2006-05-30,768.0
2006-05-31,603.0
