DATE,ARRIVAL
2006-01-02,659.5
2006-01-03,759.5
2006-01-04,1016.9
2006-01-05,1014.3
2006-01-06,1025.1
2006-01-07,1000.9
2006-01-08,
2006-01-09,791.5
2006-01-10,781.0
2006-01-11,
2006-01-12,972.3
2006-01-13,714.1
2006-01-14,
2006-01-15,
2006-01-16,612.2
2006-01-17,588.6
2006-01-18,
2006-01-19,713.9
2006-01-20,646.9
2006-01-21,459.0
2006-01-22,
2006-01-23,504.2
2006-01-24,622.7
2006-01-25,610.1
2006-01-26,
2006-01-27,703.3
2006-01-28,594.5
2006-01-29,
2006-01-30,580.3
2006-01-31,563.1
2006-02-01,481.6
2006-02-02,310.0
2006-02-03,48.7
2006-02-04,226.6
2006-02-05,
2006-02-06,367.1
2006-02-07,197.5
2006-02-08,
2006-02-09,
2006-02-10,674.2
2006-02-11,478.7
2006-02-12,
2006-02-13,
2006-02-14,592.2
2006-02-15,472.6
2006-02-16,594.4
2006-02-17,609.2
2006-02-18,570.1
2006-02-19,570.1
2006-02-20,539.4
2006-02-21,450.5
2006-02-22,420.4
2006-02-23,324.2
2006-02-24,414.1
2006-02-25,392.3
2006-02-26,
2006-02-27,
2006-02-28,100.2
2006-03-01,419.0
2006-03-02,308.6
2006-03-03,305.8
2006-03-04,354.8
2006-03-05,
2006-03-06,348.1
2006-03-07,176.8
2006-03-08,334.7
2006-03-09,147.8
2006-03-10,157.7
2006-03-11,227.2
2006-03-12,
2006-03-13,195.2
2006-03-14,49.9
2006-03-15,
2006-03-16,16.7
2006-03-17,79.4
2006-03-18,96.2
2006-03-19,
2006-03-20,
2006-03-21,79.6
2006-03-22,100.3
2006-03-23,70.5
2006-03-24,93.1
2006-03-25,53.7
2006-03-26,
2006-03-27,40.2
2006-03-28,85.2
2006-05-01,
2006-05-02,14.3
2006-05-03,19.2
2006-05-04,27.2
2006-05-05,36.4
2006-05-06,32.9
2006-05-07,
2006-05-08,47.2
2006-05-09,43.6
2006-05-10,46.0
2006-05-11,33.5
2006-05-12,72.3
2006-05-13,
2006-05-14,
2006-05-15,460.0
2006-05-16,64.9
2006-05-17,47.9
2006-05-18,39.1
2006-05-19,11.6
2006-05-20,55.7
2006-05-21,
2006-05-22,102.5
2006-05-23,61.5
2006-05-24,96.6
2006-05-25,106.1
2006-05-26,171.1
2006-05-27,
2006-05-28,
2006-05-29,155.1
2006-05-30,148.2
2006-05-31,133.0
