DATE,ARRIVAL
2006-01-02,312.0
2006-01-03,297.1
2006-01-04,482.4
2006-01-05,479.6
2006-01-06,444.5
2006-01-07,311.5
2006-01-08,
2006-01-09,326.0
2006-01-10,353.5
2006-01-11,87.9
2006-01-12,403.9
2006-01-13,398.9
2006-01-14,
2006-01-15,
2006-01-16,331.2
2006-01-17,322.6
2006-01-18,231.6
2006-01-19,317.9
2006-01-20,246.0
2006-01-21,313.8
2006-01-22,
2006-01-23,283.1
2006-01-24,262.4
2006-01-25,440.5
2006-01-26,
2006-01-27,393.6
2006-01-28,426.2
2006-01-29,
2006-01-30,436.3
2006-01-31,416.2
2006-02-01,304.9
2006-02-02,204.9
2006-02-03,115.0
2006-02-04,210.0
2006-02-05,
2006-02-06,334.6
2006-02-07,356.5
2006-02-08,
2006-02-09,497.8
2006-02-10,
2006-02-11,
2006-02-12,
2006-02-13,417.5
2006-02-14,305.8
2006-02-15,229.7
2006-02-16,295.0
2006-02-17,
2006-02-18,
2006-02-19,428.4
2006-02-20,226.9
2006-02-21,295.0
2006-02-22,302.5
2006-02-23,223.2
2006-02-24,206.1
2006-02-25,200.7
2006-02-26,
2006-02-27,
2006-02-28,154.6
2006-03-01,163.5
2006-03-02,166.0
2006-03-03,207.3
2006-03-04,166.1
2006-03-05,
2006-03-06,386.6
2006-03-07,324.5
2006-03-08,406.4
2006-03-09,289.9
2006-03-10,
2006-03-11,195.1
2006-03-12,
2006-03-13,241.5
2006-03-14,24.8
2006-03-15,
2006-03-16,39.4
2006-03-17,
2006-03-18,157.0
2006-03-19,
2006-03-20,
2006-03-21,125.1
2006-03-22,206.5
2006-03-23,272.0
2006-03-24,291.9
2006-03-25,255.4
2006-03-26,
2006-03-27,226.0
2006-03-28,401.1
2006-03-29,
2006-03-30,
2006-03-31,190.2
2006-05-01,49.4
2006-05-02,
2006-05-03,196.7
2006-05-04,208.6
2006-05-05,206.7
2006-05-06,144.9
2006-05-07,
2006-05-08,1.0
2006-05-09,194.6
2006-05-10,167.6
2006-05-11,173.7
2006-05-12,262.8
2006-05-13,131.4
2006-05-14,
2006-05-15,1.0
2006-05-16,404.4
2006-05-17,317.3
2006-05-18,
2006-05-19,239.4
2006-05-20,342.7
2006-05-21,
2006-05-22,
2006-05-23,433.2
2006-05-24,403.2
2006-05-25,
2006-05-26,456.6
2006-05-27,
2006-05-28,
2006-05-29,526.1
2006-05-30,372.4
2006-05-31,363.9
