DATE,ARRIVAL
2006-01-02,124.0
2006-01-03,217.6
2006-01-04,158.0
2006-01-05,203.7
2006-01-06,192.5
2006-01-07,
2006-01-08,147.5
2006-01-09,155.8
2006-01-10,210.7
2006-01-11,
2006-01-12,238.8
2006-01-13,121.0
2006-01-14,
2006-01-15,
2006-01-16,116.7
2006-01-17,148.2
2006-01-18,123.5
2006-01-19,141.3
2006-01-20,162.9
2006-01-21,131.0
2006-01-22,
2006-01-23,159.0
2006-01-24,162.3
2006-01-25,179.5
2006-01-26,
2006-01-27,2440.0
2006-01-28,109.0
2006-01-29,
2006-01-30,134.5
2006-01-31,144.2
2006-02-01,281.4
2006-02-02,135.7
2006-02-03,
2006-02-04,158.8
2006-02-05,
2006-02-06,193.8
2006-02-07,144.2
2006-02-08,203.3
2006-02-09,
2006-02-10,278.5
2006-02-11,
2006-02-12,
2006-02-13,
2006-02-14,230.5
2006-02-15,191.4
2006-02-16,204.6
2006-02-17,258.4
2006-02-18,218.9
2006-02-19,
2006-02-20,160.0
2006-02-21,149.0
2006-02-22,218.0
2006-02-23,179.7
2006-02-24,159.8
2006-02-25,98.9
2006-02-26,
2006-02-27,72.8
2006-03-01,221.8
2006-03-02,208.5
2006-03-03,123.4
2006-03-04,149.8
2006-03-05,
2006-03-06,216.2
2006-03-07,169.3
2006-03-08,110.0
2006-03-09,131.9
2006-03-10,7.1
2006-03-11,86.2
2006-03-12,
2006-03-13,196.9
2006-03-14,17.3
2006-03-15,
2006-03-16,
2006-03-17,111.2
2006-03-18,72.5
2006-03-19,
2006-03-20,
2006-03-21,136.6
2006-03-22,148.5
2006-03-23,57.0
2006-03-24,103.9
2006-03-25,117.7
2006-03-26,
2006-03-27,59.1
2006-03-28,47.9
2006-03-29,
2006-03-30,
2006-03-31,41.1
2006-05-01,
2006-05-02,83.1
2006-05-03,67.1
2006-05-04,
2006-05-05,1.0
2006-05-06,1.0
2006-05-07,
2006-05-08,1.0
2006-05-09,1.0
2006-05-10,1.0
2006-05-11,44.0
2006-05-12,1.0
2006-05-13,
2006-05-14,
2006-05-15,1.0
2006-05-16,47.6
2006-05-17,1.0
2006-05-18,1.0
2006-05-19,0.6
2006-05-20,106.5
2006-05-21,
2006-05-22,1.0
2006-05-23,1.0
2006-05-24,83.4
2006-05-25,76.1
2006-05-26,126.8
2006-05-27,
2006-05-28,
2006-05-29,1.0
2006-05-30,1.0
2006-05-31,138.2
