DATE,ARRIVAL
2006-01-02,266.4
2006-01-03,262.7
2006-01-04,235.1
2006-01-05,199.9
2006-01-06,
2006-01-07,328.2
2006-01-08,
2006-01-09,222.1
2006-01-10,266.8
2006-01-11,
2006-01-12,205.1
2006-01-13,226.7
2006-01-14,
2006-01-15,
2006-01-16,312.8
2006-01-17,283.2
2006-01-18,216.6
2006-01-19,220.5
2006-01-20,224.4
2006-01-21,239.3
2006-01-22,
2006-01-23,228.4
2006-01-24,233.6
2006-01-25,270.8
2006-01-26,
2006-01-27,225.7
2006-01-28,221.0
2006-01-29,
2006-01-30,217.2
2006-01-31,218.1
2006-02-01,203.5
2006-02-02,101.2
2006-02-03,61.7
2006-02-04,179.3
2006-02-05,
2006-02-06,214.8
2006-02-07,217.9
2006-02-08,231.5
2006-02-09,
2006-02-10,
2006-02-11,
2006-02-12,
2006-02-13,
2006-02-14,235.8
2006-02-15,139.6
2006-02-16,126.5
2006-02-17,
2006-02-18,279.0
2006-02-19,
2006-02-20,161.4
2006-02-21,124.9
2006-02-22,122.8
2006-02-23,103.5
2006-02-24,
2006-02-25,
2006-02-26,
2006-02-27,81.3
2006-02-28,122.7
2006-03-01,53.0
2006-03-02,97.0
2006-03-03,
2006-03-04,129.2
2006-03-05,
2006-03-06,121.3
2006-03-07,110.7
2006-03-08,100.4
2006-03-09,83.3
2006-03-10,38.7
2006-03-11,90.2
2006-03-12,
2006-03-13,108.7
2006-03-14,31.5
2006-03-15,
2006-03-16,
2006-03-17,51.5
2006-03-18,103.3
2006-03-19,
2006-03-20,
2006-03-21,
2006-03-22,100.5
2006-03-23,96.7
2006-03-24,118.3
2006-03-25,146.6
2006-03-26,
2006-03-27,156.0
2006-03-28,72.8
2006-05-01,50.9
2006-05-02,
2006-05-03,83.6
2006-05-04,94.4
2006-05-05,45.4
2006-05-06,49.1
2006-05-07,
2006-05-08,103.8
2006-05-09,
2006-05-10,1.0
2006-05-11,1.0
2006-05-12,1.0
2006-05-13,
2006-05-14,
2006-05-15,161.7
2006-05-16,137.3
2006-05-17,107.2
2006-05-18,88.4
2006-05-19,101.9
2006-05-20,130.9
2006-05-21,
2006-05-22,184.5
2006-05-23,134.7
2006-05-24,114.7
2006-05-25,74.8
2006-05-26,88.8
2006-05-27,125.5
2006-05-28,
2006-05-29,149.8
2006-05-30,167.0
2006-05-31,108.9
