DATE,ARRIVAL
2006-01-10,29.08
2006-01-11,14.8
2006-01-12,
2006-01-13,31.0
2006-01-14,15.3
2006-01-15,
2006-01-16,
2006-01-17,15.39
2006-01-18,14.8
2006-01-19,14.8
2006-01-20,
2006-01-21,14.8
2006-01-22,14.8
2006-01-23,29.7
2006-01-24,45.0
2006-01-25,15.3
2006-01-26,
2006-01-27,44.7
2006-01-28,8.1
2006-01-29,29.8
2006-01-30,44.9
2006-01-31,43.9
2006-02-06,8.1
2006-02-07,15.2
2006-02-08,14.8
2006-02-09,
2006-02-10,30.3
2006-02-11,
2006-02-12,
2006-02-13,14.8
2006-02-14,
2006-02-15,29.2
2006-02-16,14.8
2006-02-17,75.8
2006-02-18,14.8
2006-02-19,30.0
2006-02-20,14.8
2006-02-21,
2006-02-22,
2006-02-23,15.8
2006-03-01,15.0
2006-03-02,
2006-03-03,
2006-03-04,14.8
2006-03-05,
2006-03-06,14.8
2006-03-07,31.2
2006-03-08,21.4
2006-03-09,
2006-03-10,
2006-03-11,28.8
2006-03-12,29.8
2006-03-13,
2006-03-14,
2006-03-15,4.9
2006-03-16,
2006-03-17,9.0
2006-03-18,
2006-03-19,17.1
2006-03-20,
2006-03-21,15.02
2006-03-22,
2006-03-23,
2006-03-24,
2006-03-25,14.8
2006-03-26,
2006-03-27,
2006-03-28,16.8
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,15.03
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,29.7
2006-05-24,
2006-05-25,14.85
2006-05-26,
2006-05-27,29.59
2006-05-28,
2006-05-29,15.01
2006-05-30,
2006-05-31,14.85
