DATE,ARRIVAL
2006-01-02,173.9
2006-01-03,163.3
2006-01-04,
2006-01-05,
2006-01-06,125.2
2006-01-07,129.3
2006-01-08,
2006-01-09,
2006-01-10,
2006-01-11,
2006-01-12,
2006-01-13,113.2
2006-01-14,
2006-01-15,
2006-01-16,114.6
2006-01-17,127.2
2006-01-18,136.1
2006-01-19,127.3
2006-01-20,
2006-01-21,98.0
2006-01-22,
2006-01-23,105.3
2006-01-24,
2006-01-25,100.9
2006-01-26,
2006-01-27,58.07
2006-01-28,101.9
2006-01-29,
2006-01-30,94.05
2006-02-01,88.06
2006-02-02,
2006-02-03,
2006-02-04,54.03
2006-02-05,
2006-02-06,79.08
2006-02-07,57.09
2006-02-08,109.4
2006-02-09,
2006-02-10,68.1
2006-02-11,79.3
2006-02-12,
2006-02-13,
2006-02-14,
2006-02-15,
2006-02-16,46.5
2006-02-17,56.0
2006-02-18,48.5
2006-02-19,
2006-02-20,98.0
2006-02-21,41.1
2006-02-22,39.4
2006-02-23,64.3
2006-02-24,
2006-02-25,51.0
2006-02-26,
2006-02-27,
2006-02-28,40.1
2006-03-01,27.4
2006-03-02,22.1
2006-03-03,42.9
2006-03-04,46.4
2006-03-05,
2006-03-06,56.2
2006-03-07,59.6
2006-03-08,37.1
2006-03-09,1.7
