DATE,ARRIVAL
2006-01-02,454.0
2006-01-03,
2006-01-04,
2006-01-05,
2006-01-06,
2006-01-07,
2006-01-08,
2006-01-09,
2006-01-10,
2006-01-11,
2006-01-12,504.0
2006-01-13,207.0
2006-02-08,1102.0
2006-02-09,
2006-02-10,
2006-02-11,
2006-02-12,
2006-02-13,
2006-02-14,
2006-02-15,
2006-02-16,
2006-02-17,364.0
2006-02-18,223.0
2006-02-19,
2006-02-20,
2006-02-21,259.0
2006-03-04,245.0
2006-03-05,
2006-03-06,206.0
2006-03-07,218.0
2006-03-08,179.0
2006-03-09,51.0
2006-05-01,43.0
2006-05-02,149.0
2006-05-03,189.0
2006-05-04,
2006-05-05,
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,
2006-05-31,264.0
