DATE,ARRIVAL
2006-01-20,4.1
2006-01-21,46.7
2006-02-08,9.9
2006-02-09,
2006-02-10,41.1
2006-02-11,41.1
2006-02-12,
2006-02-13,
2006-02-14,108.1
2006-02-15,11.0
2006-02-16,18.0
2006-02-17,39.6
2006-02-18,30.9
2006-02-19,
2006-02-20,
2006-02-21,98.3
2006-02-22,37.2
2006-02-23,23.9
2006-02-24,7.3
2006-02-25,24.5
2006-03-01,119.1
2006-03-02,19.7
2006-03-03,14.7
2006-03-04,69.6
2006-03-05,
2006-03-06,
2006-03-07,129.1
2006-03-08,6.8
2006-03-09,14.3
2006-03-10,
2006-03-11,1.5
2006-03-12,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,2.5
2006-03-18,106.5
2006-03-19,
2006-03-20,
2006-03-21,57.5
2006-03-22,28.3
2006-03-23,5.9
2006-03-24,
2006-03-25,32.1
2006-03-26,
2006-03-27,
2006-03-28,49.3
2006-05-01,
2006-05-02,10.0
2006-05-03,15.3
2006-05-04,8.8
2006-05-05,
2006-05-06,14.1
2006-05-07,
2006-05-08,
2006-05-09,10.1
2006-05-10,9.0
2006-05-11,22.4
2006-05-12,11.8
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,9.7
2006-05-17,7.1
2006-05-18,1.7
2006-05-19,4.0
2006-05-20,7.7
2006-05-21,
2006-05-22,
2006-05-23,17.6
2006-05-24,1.4
2006-05-25,20.6
2006-05-26,22.4
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,17.5
2006-05-31,8.1
