DATE,ARRIVAL
2006-01-02,3.0
2006-01-03,51.0
2006-01-04,28.0
2006-01-05,
2006-01-06,46.0
2006-01-07,31.0
2006-01-08,
2006-01-09,20.0
2006-01-10,20.0
2006-01-11,16.0
2006-01-12,54.0
2006-01-13,9.0
2006-01-14,46.0
2006-01-15,
2006-01-16,46.0
2006-01-17,14.0
2006-01-18,11.0
2006-01-19,31.0
2006-01-20,3.0
2006-01-21,38.0
2006-01-22,
2006-01-23,
2006-01-24,13.0
2006-01-25,1.0
2006-01-26,
2006-01-27,20.0
2006-01-28,12.0
2006-02-04,5.0
2006-02-05,
2006-02-06,1.0
2006-02-07,
2006-02-08,
2006-02-09,4.0
2006-02-10,2.0
2006-02-11,4.0
2006-02-12,
2006-02-13,140.0
2006-02-14,2.0
2006-02-15,
2006-02-16,
2006-02-17,4.0
2006-02-18,
2006-02-19,
2006-02-20,
2006-02-21,13.0
2006-02-22,3.0
2006-03-01,2.0
2006-03-02,
2006-03-03,
2006-03-04,155.0
2006-03-05,
2006-03-06,2.0
2006-03-07,
2006-03-08,38.0
2006-03-09,
2006-03-10,
2006-03-11,
2006-03-12,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-18,
2006-03-19,
2006-03-20,7.0
2006-03-21,
2006-03-22,5.0
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,4.0
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,3.0
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,
2006-05-31,
