DATE,ARRIVAL
2006-01-03,176.2
2006-01-04,252.3
2006-01-05,165.1
2006-01-06,265.4
2006-01-07,
2006-01-08,
2006-01-09,200.0
2006-01-10,245.9
2006-01-11,
2006-01-12,174.3
2006-01-13,173.6
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,
2006-01-18,146.6
2006-01-19,78.2
2006-01-20,190.7
2006-01-21,
2006-01-22,
2006-01-23,
2006-01-24,146.6
2006-01-25,
2006-01-26,
2006-01-27,171.8
2006-01-28,
2006-01-29,
2006-01-30,120.0
2006-01-31,100.0
2006-02-01,167.7
2006-02-02,118.4
2006-02-03,100.0
2006-02-04,
2006-02-05,
2006-02-06,183.5
2006-02-07,109.4
2006-02-08,158.9
2006-02-09,
2006-02-10,
2006-02-11,
2006-02-12,
2006-02-13,
2006-02-14,
2006-02-15,
2006-02-16,
2006-02-17,177.5
2006-02-18,
2006-02-19,
2006-02-20,130.9
2006-02-21,82.9
2006-02-22,94.2
2006-03-01,91.4
2006-03-02,64.6
2006-03-03,117.7
2006-03-04,
2006-03-05,
2006-03-06,
2006-03-07,
2006-03-08,83.7
2006-03-09,32.6
2006-03-10,
2006-03-11,
2006-03-12,
2006-03-13,
2006-03-14,8.5
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-18,
2006-03-19,
2006-03-20,
2006-03-21,
2006-03-22,56.4
2006-03-23,48.6
2006-05-01,
2006-05-02,
2006-05-03,1.0
2006-05-04,
2006-05-05,
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,1.0
2006-05-10,1.0
2006-05-11,1.0
2006-05-12,1.0
2006-05-13,
2006-05-14,
2006-05-15,1.0
2006-05-16,1.0
2006-05-17,1.0
2006-05-18,450.0
2006-05-19,953.0
2006-05-20,
2006-05-21,
2006-05-22,1427.0
2006-05-23,1.0
2006-05-24,
2006-05-25,1.0
2006-05-26,
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,836.0
2006-05-31,1.0
