DATE,ARRIVAL
2006-01-02,282.26
2006-01-03,327.5
2006-01-04,322.01
2006-01-05,318.43
2006-01-06,320.59
2006-01-07,305.55
2006-01-08,
2006-01-09,236.46
2006-01-10,321.32
2006-01-11,
2006-01-12,319.52
2006-01-13,194.97
2006-01-14,
2006-01-15,
2006-01-16,192.7
2006-01-17,251.39
2006-01-18,225.16
2006-01-19,157.85
2006-01-20,171.77
2006-01-21,145.43
2006-01-22,
2006-01-23,172.71
2006-01-24,194.3
2006-01-25,197.7
2006-01-26,
2006-01-27,171.31
2006-01-28,167.77
2006-01-29,
2006-01-30,179.68
2006-01-31,212.84
2006-02-01,153.43
2006-02-02,103.4
2006-02-03,
2006-02-04,
2006-02-05,
2006-02-06,159.37
2006-02-07,195.73
2006-02-08,213.15
2006-02-09,
2006-02-10,196.48
2006-02-11,142.49
2006-02-12,
2006-02-13,
2006-02-14,130.93
2006-02-15,136.99
2006-02-16,119.95
2006-02-17,158.92
2006-02-18,164.94
2006-02-19,
2006-02-20,127.44
2006-02-21,114.57
2006-02-22,120.08
2006-02-23,108.68
2006-02-24,122.22
2006-02-25,116.61
2006-02-26,
2006-02-27,
2006-02-28,9.71
2006-03-01,65.49
2006-03-02,56.8
2006-03-03,78.96
2006-03-04,95.36
2006-03-05,
2006-03-06,59.0
2006-03-07,57.06
2006-03-08,58.05
2006-03-09,16.03
2006-03-10,19.24
2006-03-11,53.8
2006-03-12,
2006-03-13,85.26
2006-03-14,7.62
2006-03-15,
2006-03-16,7.66
2006-03-17,51.44
2006-03-18,57.23
2006-03-19,
2006-03-20,
2006-03-21,32.82
2006-03-22,38.56
2006-03-23,20.77
2006-03-24,37.32
2006-03-25,29.32
2006-03-26,5.01
2006-03-27,39.7
2006-03-28,35.26
2006-05-01,2.65
2006-05-02,11.1
2006-05-03,13.85
2006-05-04,28.18
2006-05-05,48.53
2006-05-06,43.92
2006-05-07,
2006-05-08,1.0
2006-05-09,36.24
2006-05-10,8.84
2006-05-11,16.99
2006-05-12,19.31
2006-05-13,
2006-05-14,
2006-05-15,28.0
2006-05-16,39.17
2006-05-17,1.0
2006-05-18,48.66
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,
2006-05-24,1.0
2006-05-25,
2006-05-26,
2006-05-27,
2006-05-28,
2006-05-29,1.0
2006-05-30,1.0
2006-05-31,1.0
