DATE,ARRIVAL
2006-01-07,292.9
2006-01-08,
2006-01-09,199.8
2006-01-10,320.1
2006-01-11,
2006-01-12,
2006-01-13,
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,
2006-01-18,
2006-01-19,
2006-01-20,
2006-01-21,
2006-01-22,
2006-01-23,
2006-01-24,
2006-01-25,
2006-01-26,
2006-01-27,
2006-01-28,
2006-01-29,
2006-01-30,230.6
2006-02-01,203.8
2006-02-02,107.3
2006-02-03,55.7
2006-02-04,124.9
2006-02-05,
2006-02-06,122.4
2006-02-07,
2006-02-08,
2006-02-09,
2006-02-10,190.3
2006-02-11,205.3
2006-02-12,
2006-02-13,
2006-02-14,208.8
2006-02-15,160.0
2006-02-16,145.3
2006-02-17,169.2
2006-02-18,167.4
2006-02-19,
2006-02-20,153.0
2006-02-21,106.0
2006-02-22,
2006-02-23,
2006-02-24,137.8
2006-02-25,112.5
2006-02-26,
2006-02-27,
2006-02-28,64.9
2006-03-01,88.6
2006-03-02,61.9
2006-03-03,116.7
2006-03-04,83.4
2006-03-05,
2006-03-06,133.8
2006-03-07,94.1
2006-03-08,106.5
2006-03-09,114.9
2006-03-10,
2006-03-11,68.7
2006-03-12,
2006-03-13,55.4
2006-03-14,57.2
2006-03-15,
2006-03-16,23.2
2006-03-17,55.4
2006-03-18,62.4
2006-03-19,
2006-03-20,
2006-03-21,42.2
2006-03-22,38.0
2006-03-23,
2006-03-24,46.7
2006-03-25,65.3
2006-03-26,
2006-03-27,18.6
2006-03-28,25.2
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,1.0
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,1.0
2006-05-26,
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,1.0
2006-05-31,
