DATE,ARRIVAL
2006-01-02,66.7
2006-01-03,
2006-01-04,
2006-01-05,
2006-01-06,80.5
2006-01-07,63.6
2006-01-08,
2006-01-09,39.7
2006-01-10,72.6
2006-01-11,
2006-01-12,
2006-01-13,43.4
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,
2006-01-18,
2006-01-19,
2006-01-20,41.4
2006-01-21,40.3
2006-01-22,
2006-01-23,111.3
2006-01-24,45.2
2006-01-25,62.3
2006-01-26,
2006-01-27,62.2
2006-01-28,67.0
2006-01-29,
2006-01-30,55.4
2006-01-31,93.8
2006-02-01,124.6
2006-02-02,82.7
2006-02-03,
2006-02-04,174.4
2006-02-05,
2006-02-06,115.5
2006-02-07,60.2
2006-02-08,92.8
2006-02-09,
2006-02-10,72.7
2006-02-11,43.1
2006-02-12,
2006-02-13,
2006-02-14,45.8
2006-02-15,24.3
2006-02-16,
2006-02-17,34.9
2006-02-18,18.6
2006-02-19,
2006-02-20,28.2
2006-02-21,18.8
2006-02-22,13.9
2006-02-23,
2006-02-24,10.3
2006-02-25,12.0
2006-02-26,
2006-02-27,50.7
2006-03-01,43.2
2006-03-02,
2006-03-03,8.4
2006-03-04,27.1
2006-03-05,
2006-03-06,1.7
2006-03-07,
2006-03-08,0.1
2006-03-09,
2006-03-10,
2006-03-11,1.9
2006-05-01,1.2
2006-05-02,
2006-05-03,3.5
2006-05-04,
2006-05-05,5.4
2006-05-06,1.2
2006-05-07,
2006-05-08,2.0
2006-05-09,
2006-05-10,0.5
2006-05-11,1.0
2006-05-12,3.1
2006-05-13,
2006-05-14,
2006-05-15,1.3
2006-05-16,
2006-05-17,2.8
2006-05-18,
2006-05-19,5.9
2006-05-20,4.9
2006-05-21,
2006-05-22,2.7
2006-05-23,3.1
2006-05-24,12.5
2006-05-25,
2006-05-26,7.1
2006-05-27,
2006-05-28,
2006-05-29,12.1
2006-05-30,11.0
2006-05-31,
