DATE,ARRIVAL
2006-01-16,460.0
2006-01-17,652.4
2006-01-18,710.0
2006-01-19,540.0
2006-01-20,483.0
2006-01-21,
2006-01-22,
2006-01-23,510.0
2006-01-24,550.0
2006-01-25,600.0
2006-01-26,
2006-01-27,512.5
2006-01-28,644.1
2006-01-29,
2006-01-30,670.0
2006-01-31,600.0
2006-02-01,586.4
2006-02-02,273.2
2006-02-03,350.0
2006-02-04,506.1
2006-02-05,
2006-02-06,520.0
2006-02-07,400.0
2006-02-08,489.8
2006-02-09,
2006-02-10,
2006-02-11,720.7
2006-02-12,
2006-02-13,
2006-02-14,637.1
2006-02-15,364.7
2006-02-16,467.5
2006-02-17,486.5
2006-02-18,492.5
2006-02-19,
2006-02-20,608.4
2006-02-21,277.0
2006-02-22,259.7
2006-02-23,264.6
2006-02-24,289.1
2006-02-25,396.1
2006-02-26,
2006-02-27,201.7
2006-02-28,242.2
2006-03-01,256.3
2006-03-02,
2006-03-03,
2006-03-04,367.6
2006-03-05,
2006-03-06,456.4
2006-03-07,295.2
2006-03-08,402.8
2006-03-09,324.7
2006-03-10,133.1
2006-03-11,268.3
2006-03-12,
2006-03-13,574.4
2006-03-14,
2006-03-15,
2006-03-16,142.6
2006-03-17,188.6
2006-03-18,294.7
2006-03-19,
2006-03-20,
2006-03-21,324.7
2006-03-22,1128.8
2006-03-23,370.8
2006-03-24,361.0
2006-03-25,307.8
2006-03-26,
2006-03-27,162.7
2006-03-28,399.1
2006-03-29,308.4
2006-05-01,167.9
2006-05-02,262.7
2006-05-03,242.1
2006-05-04,145.5
2006-05-05,1.0
2006-05-06,1.0
2006-05-07,
2006-05-08,236.1
2006-05-09,204.0
2006-05-10,205.8
2006-05-11,135.6
2006-05-12,1.0
2006-05-13,
2006-05-14,
2006-05-15,1.0
2006-05-16,326.7
2006-05-17,1.0
2006-05-18,202.9
2006-05-19,277.2
2006-05-20,1.0
2006-05-21,
2006-05-22,350.0
2006-05-23,300.0
2006-05-24,235.3
2006-05-25,273.9
2006-05-26,1.0
2006-05-27,116.4
2006-05-28,
2006-05-29,353.4
2006-05-30,385.1
2006-05-31,319.3
