DATE,ARRIVAL
2006-01-02,216.1
2006-01-03,238.0
2006-01-04,228.9
2006-01-05,174.8
2006-01-06,280.0
2006-01-07,284.6
2006-01-08,
2006-01-09,
2006-01-10,290.2
2006-01-11,
2006-01-12,84.9
2006-01-13,260.8
2006-01-14,53.4
2006-01-15,
2006-01-16,181.2
2006-01-17,170.2
2006-01-18,183.1
2006-01-19,144.6
2006-01-20,150.4
2006-01-21,213.2
2006-01-22,
2006-01-23,197.4
2006-01-24,173.1
2006-01-25,157.4
2006-01-26,
2006-01-27,142.1
2006-01-28,185.3
2006-01-29,
2006-01-30,142.5
2006-01-31,124.0
2006-02-01,161.7
2006-02-02,93.1
2006-02-03,83.2
2006-02-04,154.1
2006-02-05,
2006-02-06,122.0
2006-02-07,162.6
2006-02-08,233.5
2006-02-09,
2006-02-10,177.6
2006-02-11,192.5
2006-02-12,
2006-02-13,
2006-02-14,253.7
2006-02-15,123.2
2006-02-16,92.4
2006-02-17,154.5
2006-02-18,171.0
2006-02-19,
2006-02-20,182.0
2006-02-21,106.1
2006-02-22,113.6
2006-02-23,61.4
2006-02-24,95.7
2006-02-25,113.4
2006-02-26,
2006-02-27,
2006-02-28,80.3
2006-03-01,131.1
2006-03-02,96.0
2006-03-03,157.9
2006-03-04,130.1
2006-03-05,
2006-03-06,139.0
2006-03-07,143.3
2006-03-08,
2006-03-09,53.3
2006-03-10,
2006-03-11,
2006-03-12,
2006-03-13,75.9
2006-03-14,12.8
2006-03-15,
2006-03-16,11.6
2006-03-17,51.9
2006-03-18,34.1
2006-03-19,
2006-03-20,
2006-03-21,54.9
2006-03-22,82.2
2006-03-23,
2006-03-24,
2006-03-25,101.4
2006-03-26,
2006-03-27,145.1
2006-03-28,107.5
2006-03-29,
2006-03-30,
2006-03-31,143.0
2006-05-01,149.9
2006-05-02,
2006-05-03,98.2
2006-05-04,
2006-05-05,126.1
2006-05-06,151.1
2006-05-07,
2006-05-08,
2006-05-09,
2006-05-10,95.9
2006-05-11,21.1
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,83.3
2006-05-19,98.0
2006-05-20,132.4
2006-05-21,
2006-05-22,118.0
2006-05-23,
2006-05-24,
2006-05-25,53.9
2006-05-26,
2006-05-27,
2006-05-28,
2006-05-29,61.1
2006-05-30,63.6
2006-05-31,51.6
