DATE,ARRIVAL
2006-01-02,39.3
2006-01-03,17.5
2006-01-04,35.4
2006-01-05,14.5
2006-01-06,14.9
2006-01-07,22.0
2006-01-08,
2006-01-09,24.5
2006-01-10,21.6
2006-01-11,
2006-01-12,2.4
2006-01-13,46.8
2006-01-14,
2006-01-15,
2006-01-16,100.9
2006-01-17,
2006-01-18,3.6
2006-01-19,0.6
2006-01-20,20.6
2006-01-21,27.9
2006-01-22,
2006-01-23,74.9
2006-01-24,36.2
2006-01-25,37.4
2006-01-26,
2006-01-27,23.4
2006-01-28,37.7
2006-01-29,
2006-01-30,15.0
2006-02-01,56.0
2006-02-02,14.0
2006-02-03,44.6
2006-02-04,10.8
2006-02-05,
2006-02-06,66.0
2006-02-07,10.0
2006-02-08,15.0
2006-02-09,
2006-02-10,69.8
2006-02-11,21.0
2006-02-12,
2006-02-13,
2006-02-14,32.0
2006-02-15,73.6
2006-02-16,23.4
2006-02-17,26.5
2006-02-18,42.0
2006-02-19,
2006-02-20,69.9
2006-02-21,62.6
2006-02-22,65.3
2006-02-23,55.1
2006-02-24,25.2
2006-02-25,9.8
2006-02-26,
2006-02-27,95.7
2006-03-01,78.3
2006-03-02,38.9
2006-03-03,3.1
2006-03-04,25.2
2006-03-05,
2006-03-06,56.1
2006-03-07,
2006-03-08,22.2
2006-03-09,0.6
2006-03-10,
2006-03-11,0.2
2006-03-12,
2006-03-13,4.8
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,8.0
2006-03-18,16.2
2006-03-19,
2006-03-20,
2006-03-21,
2006-03-22,6.5
2006-03-23,23.7
2006-03-24,15.7
2006-03-25,8.7
2006-03-26,
2006-03-27,50.8
2006-03-28,33.6
2006-03-29,
2006-03-30,
2006-03-31,49.7
2006-05-01,21.3
2006-05-02,26.8
2006-05-03,1.4
2006-05-04,5.0
2006-05-05,7.9
2006-05-06,1.1
2006-05-07,
2006-05-08,
2006-05-09,17.8
2006-05-10,0.6
2006-05-11,
2006-05-12,10.4
2006-05-13,
2006-05-14,
2006-05-15,17.0
2006-05-16,0.4
2006-05-17,0.5
2006-05-18,14.7
2006-05-19,5.2
2006-05-20,27.5
2006-05-21,
2006-05-22,61.7
2006-05-23,33.0
2006-05-24,2.3
2006-05-25,2.3
2006-05-26,1.2
2006-05-27,
2006-05-28,
2006-05-29,9.6
2006-05-30,4.0
2006-05-31,9.9
