DATE,ARRIVAL
2006-01-05,14.1
2006-01-06,86.4
2006-01-07,153.2
2006-01-08,
2006-01-09,133.0
2006-01-10,
2006-01-11,
2006-01-12,141.6
2006-01-13,23.4
2006-01-14,
2006-01-15,
2006-01-16,186.6
2006-01-17,187.3
2006-01-18,143.7
2006-01-19,41.6
2006-01-20,112.4
2006-01-21,146.9
2006-01-22,
2006-01-23,112.3
2006-01-24,143.4
2006-01-25,90.8
2006-01-26,
2006-01-27,80.8
2006-01-28,104.7
2006-01-29,
2006-01-30,112.7
2006-01-31,128.2
2006-02-01,102.1
2006-02-02,22.0
2006-02-03,39.2
2006-02-04,28.7
2006-02-05,
2006-02-06,72.7
2006-02-07,49.7
2006-02-08,
2006-02-09,
2006-02-10,
2006-02-11,85.8
2006-02-12,
2006-02-13,
2006-02-14,76.7
2006-02-15,75.2
2006-02-16,43.2
2006-02-17,132.3
2006-02-18,83.8
2006-02-19,
2006-02-20,101.9
2006-02-21,37.9
2006-02-22,30.8
2006-02-23,11.7
2006-02-24,26.3
2006-02-25,46.0
2006-03-01,43.3
2006-03-02,17.4
2006-03-03,38.6
2006-03-04,31.7
2006-03-05,
2006-03-06,20.0
2006-03-07,20.2
2006-03-08,18.8
2006-03-09,15.6
2006-03-10,
2006-03-11,7.5
2006-03-12,
2006-03-13,29.1
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,3.1
2006-03-18,7.2
2006-03-19,
2006-03-20,
2006-03-21,1.2
2006-03-22,0.8
2006-03-23,
2006-03-24,1.9
2006-03-25,2.6
2006-03-26,
2006-03-27,0.3
2006-03-28,2.8
2006-03-29,
2006-03-30,
2006-03-31,0.1
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,2.5
2006-05-06,1.6
2006-05-07,
2006-05-08,2.9
2006-05-09,3.7
2006-05-10,0.3
2006-05-11,1.1
2006-05-12,15.3
2006-05-13,
2006-05-14,
2006-05-15,1.9
2006-05-16,0.7
2006-05-17,6.1
2006-05-18,
2006-05-19,6.6
2006-05-20,4.5
2006-05-21,
2006-05-22,10.2
2006-05-23,12.7
2006-05-24,5.6
2006-05-25,8.5
2006-05-26,25.1
2006-05-27,
2006-05-28,
2006-05-29,40.4
2006-05-30,31.3
2006-05-31,39.5
