DATE,ARRIVAL
2006-01-04,10.8
2006-01-05,9.3
2006-01-06,
2006-01-07,26.2
2006-01-08,
2006-01-09,22.5
2006-01-10,8.5
2006-01-11,5.4
2006-01-12,35.0
2006-01-13,14.4
2006-01-14,91.4
2006-01-15,
2006-01-16,22.9
2006-01-17,11.4
2006-01-18,4.0
2006-01-19,13.5
2006-01-20,12.4
2006-01-21,13.5
2006-01-22,
2006-01-23,9.0
2006-01-24,20.7
2006-01-25,4.9
2006-01-26,
2006-01-27,9.1
2006-01-28,
2006-01-29,
2006-01-30,8.8
2006-01-31,10.8
2006-02-01,8.1
2006-02-02,7.5
2006-02-03,5.9
2006-02-04,4.6
2006-02-05,
2006-02-06,5.5
2006-02-07,4.9
2006-02-08,18.5
2006-02-09,5.2
2006-02-10,0.8
2006-02-11,4.1
2006-02-12,
2006-02-13,
2006-02-14,1.9
2006-02-15,6.8
2006-02-16,2.2
2006-02-17,
2006-02-18,
2006-02-19,
2006-02-20,2.0
2006-02-21,2.7
2006-02-22,0.9
2006-02-23,2.2
2006-02-24,
2006-02-25,3.7
2006-02-26,
2006-02-27,3.7
2006-02-28,10.6
2006-03-01,3.6
2006-03-02,1.5
2006-03-03,4.5
2006-03-04,2.9
2006-03-05,
2006-03-06,16.2
2006-03-07,4.0
2006-03-08,9.5
2006-03-09,0.5
2006-03-10,
2006-03-11,
2006-03-12,
2006-03-13,
2006-03-14,2.9
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-18,
2006-03-19,
2006-03-20,9.3
2006-03-21,1.4
2006-03-22,
2006-03-23,
2006-03-24,
2006-03-25,
2006-03-26,
2006-03-27,16.3
2006-03-28,
2006-03-29,
2006-03-30,
2006-03-31,4.7
