DATE,ARRIVAL
2006-01-04,45.6
2006-01-05,46.7
2006-01-06,
2006-01-07,26.8
2006-01-08,
2006-01-09,49.7
2006-01-10,
2006-01-11,44.0
2006-01-12,
2006-01-13,
2006-01-14,
2006-01-15,
2006-01-16,35.1
2006-01-17,8.9
2006-01-18,38.9
2006-01-19,15.9
2006-01-20,28.5
2006-01-21,
2006-01-22,
2006-01-23,
2006-01-24,
2006-01-25,
2006-01-26,
2006-01-27,15.2
2006-01-28,57.3
2006-01-29,
2006-01-30,62.4
2006-01-31,7.6
2006-02-01,60.3
2006-02-02,15.2
2006-02-03,16.3
2006-02-04,47.3
2006-02-05,
2006-02-06,81.2
2006-02-07,14.5
2006-02-08,14.7
2006-02-09,
2006-02-10,
2006-02-11,
2006-02-12,
2006-02-13,
2006-02-14,115.5
2006-02-15,
2006-02-16,
2006-02-17,
2006-02-18,
2006-02-19,
2006-02-20,63.8
2006-02-21,
2006-02-22,
2006-02-23,
2006-02-24,
2006-02-25,
2006-02-26,
2006-02-27,29.6
