DATE,ARRIVAL
2006-01-23,96.4
2006-01-24,68.3
2006-01-25,130.4
2006-01-26,
2006-01-27,130.3
2006-01-28,51.4
2006-01-29,
2006-01-30,90.1
2006-01-31,144.1
2006-02-10,112.7
2006-02-11,
2006-02-12,
2006-02-13,
2006-02-14,90.6
2006-02-15,86.7
2006-02-16,
2006-02-17,79.7
2006-02-18,25.0
2006-02-19,
2006-02-20,38.9
2006-02-21,27.7
2006-02-22,
2006-02-23,
2006-02-24,80.5
2006-02-25,65.3
2006-02-26,
2006-02-27,
2006-02-28,545.0
2006-03-01,111.7
2006-03-02,54.2
2006-03-03,6.6
2006-05-01,
2006-05-02,
2006-05-03,0.3
2006-05-04,15.3
2006-05-05,1.0
2006-05-06,
2006-05-07,
2006-05-08,1.0
2006-05-09,1.0
2006-05-10,1.0
2006-05-11,1.0
2006-05-12,1.0
2006-05-13,
2006-05-14,
2006-05-15,1.0
2006-05-16,1.0
2006-05-17,1.0
2006-05-18,1.0
2006-05-19,
2006-05-20,1.0
2006-05-21,
2006-05-22,1.0
2006-05-23,1.0
2006-05-24,1.0
2006-05-25,1.0
2006-05-26,1.0
2006-05-27,
2006-05-28,
2006-05-29,1.0
2006-05-30,1.0
2006-05-31,
