DATE,ARRIVAL
2006-01-02,205.0
2006-01-03,207.4
2006-01-04,212.0
2006-01-05,162.5
2006-01-06,
2006-01-07,140.0
2006-01-08,
2006-01-09,175.0
2006-01-10,
2006-01-11,
2006-01-12,199.0
2006-01-13,177.5
2006-01-14,
2006-01-15,
2006-01-16,187.2
2006-01-17,229.0
2006-01-18,212.5
2006-01-19,144.6
2006-01-20,170.1
2006-01-21,127.2
2006-01-22,
2006-01-23,172.9
2006-01-24,201.5
2006-01-25,204.0
2006-01-26,
2006-01-27,162.0
2006-01-28,182.5
2006-01-29,
2006-01-30,153.7
2006-01-31,209.5
2006-02-02,205.0
2006-02-03,62.3
2006-02-04,148.1
2006-02-05,
2006-02-06,169.0
2006-02-07,119.7
2006-02-08,192.8
2006-02-09,
2006-02-10,
2006-02-11,
2006-02-12,
2006-02-13,
2006-02-14,142.0
2006-02-15,138.0
2006-02-16,
2006-02-17,131.5
2006-02-18,127.5
2006-02-19,
2006-02-20,98.0
2006-02-21,77.4
2006-02-22,91.1
2006-02-23,75.5
2006-02-24,105.3
2006-02-25,121.0
2006-02-26,
2006-02-27,71.4
2006-03-01,78.0
2006-03-02,49.1
2006-03-03,61.1
2006-03-04,87.7
2006-03-05,
2006-03-06,78.0
2006-03-07,92.5
2006-03-08,96.0
2006-03-09,98.5
2006-03-10,
2006-03-11,84.5
2006-03-12,
2006-03-13,84.0
2006-03-14,32.0
2006-03-15,
2006-03-16,6.8
2006-03-17,53.0
2006-03-18,64.0
2006-03-19,
2006-03-20,
2006-03-21,45.5
2006-03-22,59.5
2006-03-23,79.5
2006-03-24,56.0
2006-03-25,116.5
2006-03-26,
2006-03-27,123.5
2006-03-28,79.3
2006-03-29,75.3
2006-03-30,
2006-03-31,60.7
2006-05-01,15.5
2006-05-02,34.0
2006-05-03,1.0
2006-05-04,1.0
2006-05-05,1.0
2006-05-06,1.0
2006-05-07,
2006-05-08,82.7
2006-05-09,76.7
2006-05-10,71.4
2006-05-11,35.7
2006-05-12,1.0
2006-05-13,
2006-05-14,
2006-05-15,83.2
2006-05-16,71.2
2006-05-17,106.1
2006-05-18,73.1
2006-05-19,66.8
2006-05-20,84.4
2006-05-21,
2006-05-22,134.7
2006-05-23,70.3
2006-05-24,61.5
2006-05-25,65.6
2006-05-26,68.6
2006-05-27,42.5
2006-05-28,
2006-05-29,97.8
2006-05-30,90.6
2006-05-31,126.9
