DATE,ARRIVAL
2006-01-02,200.0
2006-01-03,205.6
2006-01-04,171.5
2006-01-05,229.4
2006-01-06,222.0
2006-01-07,175.2
2006-01-08,
2006-01-09,234.9
2006-01-10,217.9
2006-01-11,
2006-01-12,170.6
2006-01-13,
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,151.2
2006-01-18,185.4
2006-01-19,98.8
2006-01-20,139.7
2006-01-21,158.2
2006-01-22,
2006-01-23,295.0
2006-01-24,263.9
2006-01-25,157.9
2006-01-26,
2006-01-27,191.4
2006-01-28,284.7
2006-01-29,
2006-01-30,197.6
2006-01-31,290.5
2006-02-01,205.0
2006-02-02,
2006-02-03,344.5
2006-02-04,
2006-02-05,
2006-02-06,303.8
2006-02-07,251.3
2006-02-08,283.9
2006-02-09,
2006-02-10,282.2
2006-02-11,346.8
2006-02-12,
2006-02-13,
2006-02-14,345.1
2006-02-15,226.8
2006-02-16,262.8
2006-02-17,213.0
2006-02-18,270.2
2006-02-19,
2006-02-20,202.3
2006-02-21,187.2
2006-02-22,48.1
2006-02-23,88.8
2006-02-24,102.8
2006-02-25,85.3
2006-02-26,
2006-02-27,
2006-02-28,141.1
2006-03-01,75.8
2006-03-02,
2006-03-03,
2006-03-04,
2006-03-05,
2006-03-06,
2006-03-07,
2006-03-08,
2006-03-09,
2006-03-10,
2006-03-11,
2006-03-12,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-18,
2006-03-19,
2006-03-20,
2006-03-21,
2006-03-22,
2006-03-23,76.6
2006-03-24,120.7
2006-03-25,118.9
2006-03-26,
2006-03-27,108.6
2006-03-28,73.6
2006-03-29,122.3
2006-05-01,96.2
2006-05-02,101.1
2006-05-03,119.2
2006-05-04,85.9
2006-05-05,1.0
2006-05-06,50.3
2006-05-07,
2006-05-08,70.1
2006-05-09,81.6
2006-05-10,49.4
2006-05-11,1.0
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,136.0
2006-05-16,
2006-05-17,36.5
2006-05-18,48.6
2006-05-19,63.8
2006-05-20,71.5
2006-05-21,
2006-05-22,65.8
2006-05-23,101.1
2006-05-24,55.9
2006-05-25,67.8
2006-05-26,47.4
2006-05-27,75.3
2006-05-28,
2006-05-29,69.5
2006-05-30,136.9
2006-05-31,79.6
