DATE,ARRIVAL
2006-01-02,284.4
2006-01-03,262.4
2006-01-04,266.2
2006-01-05,196.1
2006-01-06,153.8
2006-01-07,202.6
2006-01-08,
2006-01-09,197.6
2006-01-10,
2006-01-11,
2006-01-12,221.6
2006-01-13,114.9
2006-01-14,15.5
2006-01-15,
2006-01-16,182.6
2006-01-17,170.1
2006-01-18,163.2
2006-01-19,157.4
2006-01-20,170.5
2006-01-21,133.3
2006-01-22,
2006-01-23,230.6
2006-01-24,214.6
2006-01-25,222.7
2006-01-26,
2006-01-27,247.0
2006-01-28,193.8
2006-01-29,
2006-01-30,289.9
2006-01-31,203.7
2006-02-01,192.8
2006-02-02,185.2
2006-02-03,104.5
2006-02-04,148.0
2006-02-05,
2006-02-06,178.6
2006-02-07,182.5
2006-02-08,211.5
2006-02-09,
2006-02-10,158.8
2006-02-11,236.3
2006-02-12,
2006-02-13,
2006-02-14,166.0
2006-02-15,142.7
2006-02-16,163.3
2006-02-17,127.5
2006-02-18,151.1
2006-02-19,
2006-02-20,152.8
2006-02-21,99.6
2006-02-22,137.2
2006-02-23,119.9
2006-02-24,173.1
2006-02-25,130.6
2006-02-26,
2006-02-27,84.0
2006-02-28,52.3
2006-03-01,46.2
2006-03-02,50.4
2006-03-03,84.3
2006-03-04,90.6
2006-03-05,
2006-03-06,92.9
2006-03-07,89.1
2006-03-08,66.0
2006-03-09,71.3
2006-03-10,6.6
2006-03-11,72.7
2006-03-12,
2006-03-13,157.3
2006-03-14,23.9
2006-03-15,
2006-03-16,
2006-03-17,23.5
2006-03-18,18.9
2006-03-19,
2006-03-20,
2006-03-21,
2006-03-22,47.5
2006-03-23,
2006-03-24,52.7
2006-03-25,77.9
2006-03-26,
2006-03-27,61.0
2006-03-28,47.6
2006-03-29,63.1
2006-05-01,
2006-05-02,28.1
2006-05-03,67.1
2006-05-04,87.2
2006-05-05,1.0
2006-05-06,
2006-05-07,
2006-05-08,51.8
2006-05-09,50.9
2006-05-10,77.5
2006-05-11,61.9
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,1.0
2006-05-16,1.0
2006-05-17,71.9
2006-05-18,1.0
2006-05-19,67.0
2006-05-20,102.9
2006-05-21,
2006-05-22,131.4
2006-05-23,149.8
2006-05-24,136.9
2006-05-25,102.1
2006-05-26,184.2
2006-05-27,139.5
2006-05-28,
2006-05-29,255.8
2006-05-30,224.7
2006-05-31,181.0
