DATE,ARRIVAL
2006-01-02,2.5
2006-01-03,5.0
2006-01-04,24.0
2006-01-05,5.0
2006-01-06,18.7
2006-01-07,3.0
2006-01-08,
2006-01-09,2.6
2006-01-10,10.7
2006-01-11,1.2
2006-01-12,5.4
2006-01-13,5.6
2006-01-14,2.0
2006-01-15,
2006-01-16,0.4
2006-01-17,1.1
2006-01-18,0.8
2006-01-19,2.2
2006-01-20,1.4
2006-01-21,4.9
2006-01-22,
2006-01-23,0.7
2006-01-24,1.2
2006-01-25,
2006-01-26,
2006-01-27,
2006-01-28,0.3
2006-01-29,
2006-01-30,1.7
2006-01-31,1.4
2006-02-01,2.0
2006-02-02,
2006-02-03,2.7
2006-02-04,13.2
2006-02-05,
2006-02-06,5.0
2006-02-07,5.0
2006-02-08,2.8
2006-02-09,2.0
2006-02-10,0.5
2006-02-11,0.6
2006-02-12,
2006-02-13,
2006-02-14,0.8
2006-02-15,0.5
2006-02-16,0.3
2006-02-17,
2006-02-18,0.08
2006-02-19,
2006-02-20,
2006-02-21,
2006-02-22,
2006-02-23,13.4
2006-02-24,
2006-02-25,3.6
2006-03-01,0.5
2006-03-02,
2006-03-03,
2006-03-04,
2006-03-05,
2006-03-06,
2006-03-07,
2006-03-08,
2006-03-09,
2006-03-10,
2006-03-11,
2006-03-12,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-18,
2006-03-19,
2006-03-20,
2006-03-21,
2006-03-22,6.6
