DATE,ARRIVAL
2006-01-02,57.5
2006-01-03,85.2
2006-01-04,82.7
2006-01-05,43.7
2006-01-06,62.1
2006-01-07,19.5
2006-01-08,
2006-01-09,45.6
2006-01-10,26.2
2006-01-11,
2006-01-12,71.2
2006-01-13,33.1
2006-01-14,
2006-01-15,
2006-01-16,21.5
2006-01-17,17.6
2006-01-18,26.3
2006-01-19,23.5
2006-01-20,42.8
2006-01-21,45.2
2006-01-22,
2006-01-23,57.6
2006-01-24,20.2
2006-01-25,33.2
2006-01-26,
2006-01-27,32.5
2006-01-28,6.6
2006-01-29,
2006-01-30,42.2
2006-01-31,26.4
2006-02-01,20.4
2006-02-02,18.5
2006-02-03,11.2
2006-02-04,33.3
2006-02-05,
2006-02-06,24.4
2006-02-07,3.1
2006-02-08,22.3
2006-02-09,
2006-02-10,42.4
2006-02-11,11.3
2006-02-12,
2006-02-13,
2006-02-14,37.5
2006-02-15,28.0
2006-02-16,31.0
2006-02-17,12.4
2006-02-18,10.7
2006-02-19,
2006-02-20,21.2
2006-02-21,8.8
2006-02-22,6.0
2006-02-23,16.3
2006-02-24,14.8
2006-02-25,9.0
2006-02-26,
2006-02-27,13.3
2006-02-28,5.8
2006-03-01,17.9
2006-03-02,7.1
2006-03-03,8.4
2006-03-04,23.0
2006-03-05,
2006-03-06,29.8
2006-03-07,6.4
2006-03-08,4.5
2006-03-09,4.6
2006-03-10,1.71
2006-03-11,1.9
2006-03-12,
2006-03-13,5.1
2006-03-14,11.2
2006-03-15,
2006-03-16,
2006-03-17,4.5
2006-03-18,7.5
2006-03-19,
2006-03-20,3.4
2006-03-21,3.3
2006-03-22,5.9
2006-03-23,5.0
2006-03-24,7.0
2006-03-25,6.9
2006-03-26,
2006-03-27,8.2
2006-03-28,0.6
2006-03-29,2.0
2006-05-01,3.6
2006-05-02,3.7
2006-05-03,4.4
2006-05-04,15.5
2006-05-05,10.1
2006-05-06,3.9
2006-05-07,
2006-05-08,28.7
2006-05-09,16.92
2006-05-10,3.0
2006-05-11,15.7
2006-05-12,10.8
2006-05-13,
2006-05-14,
2006-05-15,7.5
2006-05-16,32.0
2006-05-17,25.0
2006-05-18,
2006-05-19,2.2
2006-05-20,11.5
2006-05-21,
2006-05-22,15.0
2006-05-23,3.6
2006-05-24,5.4
2006-05-25,2.9
2006-05-26,18.7
2006-05-27,9.9
2006-05-28,
2006-05-29,10.7
2006-05-30,15.3
2006-05-31,16.2
