DATE,ARRIVAL
2006-01-02,1398.0
2006-01-03,
2006-01-04,
2006-01-05,
2006-01-06,563.0
2006-01-07,
2006-01-08,
2006-01-09,184.0
2006-01-10,
2006-01-11,
2006-01-12,107.0
2006-01-13,148.0
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,500.0
2006-01-18,823.0
2006-01-19,
2006-01-20,298.0
2006-01-21,
2006-01-22,
2006-01-23,55.0
2006-01-24,
2006-01-25,148.0
2006-01-26,
2006-01-27,
2006-01-28,330.0
2006-02-01,39.0
2006-02-02,
2006-02-03,
2006-02-04,
2006-02-05,
2006-02-06,379.0
2006-02-07,
2006-02-08,
2006-02-09,
2006-02-10,161.0
2006-02-11,
2006-02-12,
2006-02-13,
2006-02-14,151.0
2006-02-15,2.0
2006-02-16,
2006-02-17,
2006-02-18,890.0
2006-02-19,
2006-02-20,2.0
2006-02-21,
2006-02-22,332.0
2006-02-23,
2006-02-24,34.0
2006-02-25,62.0
2006-02-26,
2006-02-27,144.0
2006-03-01,70.0
2006-03-02,
2006-03-03,230.0
2006-03-04,
2006-03-05,
2006-03-06,
2006-03-07,651.0
2006-03-08,235.0
2006-03-09,792.0
2006-03-10,
2006-03-11,
2006-03-12,
2006-03-13,
2006-03-14,248.0
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-18,136.0
2006-03-19,
2006-03-20,
2006-03-21,
2006-03-22,
2006-03-23,
2006-03-24,39.0
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,320.0
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-27,80.0
2006-05-28,
2006-05-29,
2006-05-30,
2006-05-31,170.0
