DATE,ARRIVAL
2006-01-05,7.5
2006-01-06,
2006-01-07,
2006-01-08,
2006-01-09,
2006-01-10,
2006-01-11,14.8
2006-01-12,
2006-01-13,
2006-01-14,13.2
2006-01-15,
2006-01-16,
2006-01-17,
2006-01-18,47.5
2006-01-19,8.0
2006-01-20,
2006-01-21,9.5
2006-01-22,14.0
2006-01-23,
2006-01-24,
2006-01-25,
2006-01-26,
2006-01-27,
2006-01-28,14.0
2006-01-29,
2006-01-30,
2006-01-31,15.7
2006-02-02,15.0
2006-02-03,
2006-02-04,15.0
2006-02-05,
2006-02-06,
2006-02-07,33.1
2006-02-08,37.2
2006-02-09,
2006-02-10,28.9
2006-02-11,
2006-02-12,16.5
2006-02-13,
2006-02-14,28.0
2006-02-15,
2006-02-16,14.1
2006-02-17,15.0
2006-02-18,66.9
2006-03-01,28.8
2006-03-02,20.0
2006-03-03,16.0
2006-03-04,
2006-03-05,20.0
2006-03-06,
2006-03-07,14.4
2006-03-08,16.0
2006-03-09,
2006-03-10,
2006-03-11,30.5
2006-05-01,
2006-05-02,14.4
2006-05-03,40.9
2006-05-04,
2006-05-05,16.8
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,12.5
2006-05-13,23.5
2006-05-14,7.5
2006-05-15,
2006-05-16,15.0
2006-05-17,
2006-05-18,25.7
2006-05-19,
2006-05-20,
2006-05-21,15.9
2006-05-22,
2006-05-23,15.9
2006-05-24,
2006-05-25,15.8
2006-05-26,
2006-05-27,30.7
2006-05-28,
2006-05-29,
2006-05-30,
2006-05-31,19.1
