DATE,ARRIVAL
2006-01-02,47.97
2006-01-03,53.91
2006-01-04,67.5
2006-01-05,
2006-01-06,46.98
2006-01-07,37.26
2006-01-08,
2006-01-09,35.64
2006-01-10,63.54
2006-01-11,0.45
2006-01-12,55.71
2006-01-13,383.4
2006-01-14,
2006-01-15,
2006-01-16,25.92
2006-01-17,51.84
2006-01-18,48.6
2006-01-19,449.1
2006-01-20,
2006-01-21,39.15
2006-01-22,
2006-01-23,34.02
2006-01-24,24.48
2006-01-25,4185.0
2006-01-26,
2006-01-27,4662.0
2006-01-28,2016.0
2006-01-29,
2006-01-30,376.0
2006-01-31,2538.0
2006-02-01,2475.0
2006-02-02,594.0
2006-02-03,2394.0
2006-02-04,2376.0
2006-02-05,
2006-02-06,3096.0
2006-02-07,2268.0
2006-02-08,216.0
2006-02-09,1368.0
2006-02-10,1917.0
2006-02-11,1449.0
2006-02-12,
2006-02-13,1125.0
2006-02-14,882.0
2006-02-15,1206.0
2006-02-16,612.0
2006-02-17,1116.0
2006-02-18,14.0
2006-02-19,
2006-02-20,13.0
2006-02-21,13.0
2006-02-22,14.0
2006-02-23,11.0
2006-02-24,18.0
2006-02-25,12.0
2006-02-26,
2006-02-27,12.0
2006-02-28,8.0
2006-03-01,10.0
2006-03-02,10.0
2006-03-03,4.0
2006-03-04,5.0
2006-03-05,
2006-03-06,5.0
2006-03-07,7.0
2006-03-08,8.0
2006-03-09,3.0
2006-03-10,
2006-03-11,
2006-03-12,
2006-03-13,1.0
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-18,4.0
2006-03-19,
2006-03-20,7.0
2006-03-21,4.0
2006-03-22,6.0
2006-03-23,5.0
2006-03-24,3.0
2006-03-25,10.0
2006-03-26,
2006-03-27,
2006-03-28,
2006-03-29,
2006-03-30,
2006-03-31,7.0
2006-05-01,
2006-05-02,
2006-05-03,4.0
2006-05-04,2.0
2006-05-05,
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,
2006-05-31,
