DATE,ARRIVAL
2006-01-01,346.3
2006-01-02,
2006-01-03,606.1
2006-01-04,631.3
2006-01-05,638.8
2006-01-06,
2006-01-07,357.2
2006-01-08,
2006-01-09,
2006-01-10,601.2
2006-01-11,
2006-01-12,434.0
2006-01-13,
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,590.7
2006-01-18,
2006-01-19,
2006-01-20,330.0
2006-01-21,348.2
2006-01-22,402.8
2006-01-23,
2006-01-24,466.7
2006-01-25,494.3
2006-01-26,
2006-01-27,
2006-01-28,385.9
2006-01-29,
2006-01-30,
2006-01-31,512.6
2006-02-02,368.0
2006-02-03,177.2
2006-02-04,231.2
2006-02-05,345.0
2006-02-06,
2006-02-07,362.9
2006-02-08,456.6
2006-02-09,
2006-02-10,207.4
2006-02-11,353.6
2006-02-12,344.7
2006-02-13,
2006-02-14,376.0
2006-02-15,319.0
2006-02-16,273.5
2006-02-17,249.3
2006-02-18,349.7
2006-02-19,379.5
2006-02-20,
2006-02-21,
2006-02-22,199.1
2006-02-23,187.9
2006-02-24,227.6
2006-03-01,200.2
2006-03-02,141.0
2006-03-03,158.0
2006-03-04,177.9
2006-03-05,313.6
2006-03-06,
2006-03-07,286.6
2006-03-08,192.3
2006-03-09,146.0
2006-03-10,22.4
2006-03-11,31.6
2006-03-12,163.7
2006-03-13,
2006-03-14,75.4
2006-03-15,
2006-03-16,21.8
2006-03-17,23.2
2006-03-18,34.6
2006-03-19,40.2
2006-03-20,
2006-03-21,93.6
2006-03-22,
2006-03-23,112.6
2006-03-24,184.8
2006-03-25,173.8
2006-03-26,218.2
2006-03-27,
2006-03-28,245.6
2006-05-01,
2006-05-02,96.8
2006-05-03,134.5
2006-05-04,88.9
2006-05-05,
2006-05-06,130.2
2006-05-07,196.8
2006-05-08,
2006-05-09,121.0
2006-05-10,148.9
2006-05-11,108.8
2006-05-12,178.3
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,
2006-05-17,161.6
2006-05-18,136.4
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,143.6
2006-05-24,130.2
2006-05-25,151.0
2006-05-26,
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,251.2
2006-05-31,
