DATE,ARRIVAL
2006-01-02,274.4
2006-01-03,208.6
2006-01-04,314.1
2006-01-05,214.6
2006-01-06,226.2
2006-01-07,160.8
2006-01-08,
2006-01-09,272.1
2006-01-10,227.8
2006-01-11,
2006-01-12,208.7
2006-01-13,118.0
2006-01-14,
2006-01-15,
2006-01-16,214.4
2006-01-17,228.3
2006-01-18,143.5
2006-01-19,149.7
2006-01-20,143.3
2006-01-21,171.6
2006-01-22,
2006-01-23,198.5
2006-01-24,211.6
2006-01-25,205.1
2006-01-26,
2006-01-27,153.8
2006-01-28,158.3
2006-01-29,
2006-01-30,235.4
2006-01-31,185.6
2006-02-02,141.6
2006-02-03,42.2
2006-02-04,175.6
2006-02-05,
2006-02-06,164.0
2006-02-07,171.9
2006-02-08,209.8
2006-02-09,
2006-02-10,100.0
2006-02-11,97.8
2006-02-12,
2006-02-13,
2006-02-14,236.0
2006-02-15,148.3
2006-02-16,118.5
2006-02-17,110.5
2006-02-18,48.4
2006-02-19,
2006-02-20,134.1
2006-03-01,44.4
2006-03-02,54.8
2006-03-03,118.8
2006-03-04,92.8
