DATE,ARRIVAL
2006-01-12,286.0
2006-01-13,376.0
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,
2006-01-18,209.0
2006-01-19,271.0
2006-01-20,215.0
2006-01-21,132.0
2006-01-22,209.0
2006-01-23,359.0
2006-01-24,
2006-01-25,128.0
2006-01-26,
2006-01-27,456.0
2006-02-26,81.0
2006-02-27,155.0
2006-03-01,212.0
2006-03-02,105.0
2006-03-03,143.0
2006-03-04,247.0
2006-03-05,178.0
2006-03-06,321.0
2006-03-07,
2006-03-08,107.0
2006-03-09,49.0
2006-03-10,5.0
2006-03-11,41.0
2006-03-12,4.0
2006-03-13,78.0
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,34.0
2006-03-18,
2006-03-19,55.0
2006-03-20,116.0
2006-03-21,
2006-03-22,29.0
2006-03-23,55.0
2006-03-24,
2006-03-25,10.0
2006-03-26,24.0
2006-03-27,293.0
2006-05-01,61.0
2006-05-02,
2006-05-03,129.0
2006-05-04,62.0
2006-05-05,11.0
2006-05-06,
2006-05-07,9.0
2006-05-08,15.0
2006-05-09,
2006-05-10,25.0
2006-05-11,125.0
2006-05-12,69.0
2006-05-13,192.0
2006-05-14,57.0
2006-05-15,
2006-05-16,
2006-05-17,4.0
2006-05-18,
2006-05-19,72.0
2006-05-20,63.0
2006-05-21,167.0
2006-05-22,111.0
2006-05-23,
2006-05-24,363.0
2006-05-25,24.0
2006-05-26,151.0
2006-05-27,33.0
2006-05-28,
2006-05-29,65.0
2006-05-30,
2006-05-31,121.0
