DATE,ARRIVAL
2006-01-02,635.9
2006-01-03,
2006-01-04,657.9
2006-01-05,508.2
2006-01-06,582.5
2006-01-07,505.0
2006-01-08,
2006-01-09,531.8
2006-01-10,548.3
2006-01-11,
2006-01-12,481.0
2006-01-13,
2006-01-14,
2006-01-15,
2006-01-16,479.5
2006-01-17,449.2
2006-01-18,544.0
2006-01-19,492.0
2006-01-20,482.0
2006-01-21,442.5
2006-01-22,
2006-01-23,474.3
2006-01-24,485.5
2006-02-01,482.0
2006-02-02,306.5
2006-02-03,203.0
2006-02-04,350.5
2006-02-05,
2006-02-06,
2006-02-07,414.0
2006-02-08,383.0
2006-02-09,
2006-02-10,
2006-02-11,449.0
2006-02-12,
2006-02-13,
2006-02-14,473.4
2006-02-15,275.5
2006-02-16,323.5
2006-02-17,
2006-02-18,373.5
2006-02-19,
2006-02-20,316.0
2006-02-21,244.9
2006-02-22,205.1
2006-02-23,189.0
2006-02-24,163.5
2006-02-25,237.3
2006-02-26,
2006-02-27,
2006-02-28,183.2
2006-03-01,143.0
2006-03-02,163.4
2006-03-03,198.7
2006-03-04,
2006-03-05,
2006-03-06,
2006-03-07,282.3
2006-03-08,263.4
2006-03-09,199.5
2006-03-10,
2006-03-11,241.1
2006-03-12,
2006-03-13,
2006-03-14,57.8
2006-03-15,
2006-03-16,47.4
2006-03-17,94.7
2006-03-18,158.7
2006-03-19,
2006-03-20,
2006-03-21,178.1
2006-03-22,216.6
2006-03-23,262.2
2006-03-24,293.8
2006-03-25,
2006-03-26,
2006-03-27,337.1
2006-03-28,241.0
2006-05-01,
2006-05-02,245.8
2006-05-03,245.4
2006-05-04,166.1
2006-05-05,1.0
2006-05-06,1.0
2006-05-07,
2006-05-08,235.4
2006-05-09,220.0
2006-05-10,215.5
2006-05-11,171.0
2006-05-12,189.0
2006-05-13,
2006-05-14,
2006-05-15,1.0
2006-05-16,
2006-05-17,1.0
2006-05-18,
2006-05-19,
2006-05-20,1.0
2006-05-21,
2006-05-22,1.0
2006-05-23,414.0
2006-05-24,398.5
2006-05-25,303.4
2006-05-26,
2006-05-27,
2006-05-28,
2006-05-29,1.0
2006-05-30,1.0
2006-05-31,1.0
